time,ch1,ch2,ch3
399.0,1.42,1.46,1.44
401.0,1.42,1.46,1.44
403.0,1.4,1.45,1.44
405.0,1.38,1.46,1.44
407.0,1.38,1.46,1.44
409.0,1.39,1.46,1.44
411.0,1.41,1.46,1.44
413.0,1.43,1.46,1.44
415.0,1.43,1.46,1.44
417.0,1.45,1.46,1.44
419.0,1.49,1.46,1.44
421.0,1.49,1.45,1.44
423.0,1.45,1.45,1.44
425.0,1.37,1.46,1.44
427.0,1.42,1.46,1.44
429.0,1.41,1.46,1.44
431.0,1.39,1.46,1.44
433.0,1.44,1.46,1.44
435.0,1.44,1.45,1.44
437.0,1.44,1.46,1.44
439.0,1.4,1.46,1.44
441.0,1.45,1.46,1.44
443.0,1.45,1.45,1.44
445.0,1.42,1.46,1.44
447.0,1.43,1.46,1.44
449.0,1.41,1.46,1.44
451.0,1.41,1.46,1.44
453.0,1.43,1.46,1.44
455.0,1.46,1.46,1.44
457.0,1.45,1.46,1.44
459.0,1.43,1.46,1.44
461.0,1.42,1.46,1.44
463.0,1.44,1.46,1.44
465.0,1.45,1.46,1.44
467.0,1.43,1.46,1.44
470.0,1.43,1.46,1.44
471.0,1.44,1.46,1.44
473.0,1.4,1.46,1.44
475.0,1.49,1.45,1.44
477.0,1.49,1.46,1.44
479.0,1.49,1.46,1.44
481.0,1.49,1.46,1.44
483.0,1.45,1.46,1.44
485.0,1.42,1.45,1.44
487.0,1.43,1.46,1.45
489.0,1.41,1.46,1.44
491.0,1.42,1.46,1.44
493.0,1.45,1.46,1.44
495.0,1.46,1.46,1.44
497.0,1.47,3.3,1.44
499.0,1.45,3.3,1.44
501.0,1.43,2.47,1.44
503.0,1.43,0.55,1.44
505.0,1.4,0.35,1.44
507.0,1.47,0.4,1.44
509.0,1.41,0.48,1.44
512.0,1.41,0.56,1.44
513.0,1.44,0.63,1.44
515.0,1.47,1.98,1.44
517.0,1.47,3.3,1.44
519.0,1.47,3.3,1.44
521.0,1.45,3.3,1.44
523.0,1.44,1.94,1.44
525.0,1.44,0.0,1.44
527.0,1.43,0.0,1.45
529.0,1.4,0.0,1.45
531.0,1.43,0.0,1.44
533.0,1.46,0.0,1.44
535.0,1.51,3.3,1.44
537.0,1.53,3.3,1.44
539.0,1.51,3.3,1.44
541.0,1.47,3.3,1.44
543.0,1.45,3.3,1.44
545.0,1.42,0.0,1.44
547.0,1.4,0.0,1.44
549.0,1.4,0.0,1.44
551.0,1.45,0.0,1.44
553.0,1.47,0.0,1.44
555.0,1.51,3.3,1.44
557.0,1.5,3.3,1.44
559.0,1.47,3.3,1.44
561.0,1.47,3.3,1.44
563.0,1.46,3.3,1.44
565.0,1.41,3.3,1.44
567.0,1.38,0.0,1.44
569.0,1.35,0.0,1.45
571.0,1.42,0.0,1.44
573.0,1.45,3.3,1.44
575.0,1.5,3.3,1.44
577.0,1.52,3.3,1.44
579.0,1.49,3.3,1.44
581.0,1.46,3.3,1.44
583.0,1.46,3.3,1.44
585.0,1.42,3.3,1.44
587.0,1.37,0.0,1.44
589.0,1.35,0.0,1.44
591.0,1.4,0.0,1.44
593.0,1.45,3.3,1.44
595.0,1.52,3.3,1.44
598.0,1.52,3.3,1.44
599.0,1.51,3.3,1.44
601.0,1.49,3.3,1.44
603.0,1.46,3.3,1.44
605.0,1.42,3.3,1.44
607.0,1.38,0.0,1.44
609.0,1.37,0.0,1.45
611.0,1.41,0.0,1.44
613.0,1.46,3.3,1.44
615.0,1.53,3.3,1.44
617.0,1.51,3.3,1.44
619.0,1.48,3.3,1.44
621.0,1.43,3.3,1.44
623.0,1.39,3.3,1.44
625.0,1.34,3.3,1.44
627.0,1.28,0.0,1.44
629.0,1.26,0.0,1.44
631.0,1.33,0.0,1.44
633.0,1.41,3.3,1.44
635.0,1.47,3.3,1.44
637.0,1.46,3.3,1.44
640.0,1.44,3.3,1.44
641.0,1.39,3.3,1.44
643.0,1.33,3.3,1.44
645.0,1.26,3.3,1.44
647.0,1.23,0.0,1.45
649.0,1.22,0.0,1.44
651.0,1.28,0.0,1.44
653.0,1.3,3.3,1.44
655.0,1.41,3.3,1.44
657.0,1.38,3.3,1.44
659.0,1.36,3.3,1.44
661.0,1.39,3.3,1.44
663.0,1.39,3.3,1.44
665.0,1.36,3.3,1.44
667.0,1.34,0.0,1.45
669.0,1.32,0.0,1.44
671.0,1.37,0.0,1.44
673.0,1.41,3.3,1.44
675.0,1.49,3.3,1.44
677.0,1.49,3.3,1.44
679.0,1.49,3.3,1.44
681.0,1.47,3.3,1.44
683.0,1.46,3.3,1.44
685.0,1.44,3.3,1.44
687.0,1.41,0.0,1.44
689.0,1.41,0.0,1.44
691.0,1.39,0.0,1.44
693.0,1.38,3.3,1.44
695.0,1.47,3.3,1.43
697.0,1.49,3.3,1.44
699.0,1.5,3.3,1.43
701.0,1.48,3.3,1.44
703.0,1.44,3.3,1.44
705.0,1.42,3.08,1.44
707.0,1.36,0.0,1.45
709.0,1.32,0.0,1.44
711.0,1.37,0.0,1.44
713.0,1.43,3.3,1.44
715.0,1.46,3.3,1.44
717.0,1.45,3.3,1.44
719.0,1.41,3.3,1.44
721.0,1.37,3.3,1.44
723.0,1.37,3.3,1.44
726.0,1.36,2.48,1.44
727.0,1.35,0.0,1.45
729.0,1.33,0.0,1.44
731.0,1.37,0.0,1.44
733.0,1.44,3.3,1.44
735.0,1.5,3.3,1.44
737.0,1.49,3.3,1.44
739.0,1.45,3.3,1.44
741.0,1.42,3.3,1.44
743.0,1.39,3.3,1.44
745.0,1.36,1.87,1.44
747.0,1.34,0.0,1.44
749.0,1.32,0.0,1.45
751.0,1.35,0.0,1.44
753.0,1.4,3.3,1.44
755.0,1.47,3.3,1.44
757.0,1.46,3.3,1.44
759.0,1.43,3.3,1.44
761.0,1.42,3.3,1.44
763.0,1.42,3.3,1.44
765.0,1.39,1.03,1.45
768.0,1.31,0.0,1.44
769.0,1.38,0.0,1.44
771.0,1.45,0.0,1.44
773.0,1.47,3.3,1.44
775.0,1.55,3.3,1.44
777.0,1.51,3.3,1.44
779.0,1.45,3.3,1.44
781.0,1.41,3.3,1.44
783.0,1.38,3.3,1.44
785.0,1.35,0.45,1.45
787.0,1.31,0.0,1.44
789.0,1.31,0.0,1.44
791.0,1.34,0.0,1.44
793.0,1.41,3.3,1.44
795.0,1.52,3.3,1.44
797.0,1.53,3.3,1.44
799.0,1.46,3.3,1.44
801.0,1.43,3.3,1.44
803.0,1.42,3.3,1.44
805.0,1.37,0.0,1.44
807.0,1.35,0.0,1.44
809.0,1.36,0.0,1.44
811.0,1.5,0.0,1.44
813.0,1.5,3.3,1.44
815.0,1.54,3.3,1.44
817.0,1.54,3.3,1.44
819.0,1.47,3.3,1.44
821.0,1.41,3.3,1.44
823.0,1.44,3.3,1.44
825.0,1.39,0.0,1.44
827.0,1.34,0.0,1.44
829.0,1.32,0.0,1.44
831.0,1.35,0.0,1.44
833.0,1.41,3.3,1.44
835.0,1.46,3.3,1.44
837.0,1.45,3.3,1.44
839.0,1.43,3.3,1.44
841.0,1.41,3.3,1.44
843.0,1.39,3.3,1.44
845.0,1.37,0.0,1.44
847.0,1.36,0.0,1.44
849.0,1.35,0.0,1.44
851.0,1.39,0.0,1.44
854.0,1.45,3.3,1.44
855.0,1.49,3.3,1.44
857.0,1.47,3.3,1.44
859.0,1.47,3.3,1.44
861.0,1.46,3.3,1.44
863.0,1.5,3.3,1.44
865.0,1.53,0.0,1.44
867.0,1.53,0.0,1.44
869.0,1.56,0.0,1.44
871.0,1.58,0.0,1.44
873.0,1.57,3.3,1.44
875.0,1.62,3.3,1.44
877.0,1.7,3.3,1.44
879.0,1.7,3.3,1.44
881.0,1.63,3.3,1.44
883.0,1.59,3.3,1.44
885.0,1.53,0.0,1.44
887.0,1.49,0.0,1.45
889.0,1.48,0.0,1.44
891.0,1.48,0.0,1.44
893.0,1.52,3.3,1.44
896.0,1.56,3.3,1.44
897.0,1.54,3.3,1.44
899.0,1.52,3.3,1.44
901.0,1.49,3.3,1.44
903.0,1.46,3.3,1.44
905.0,1.4,0.0,1.44
907.0,1.35,0.0,1.45
909.0,1.39,0.0,1.44
911.0,1.44,0.0,1.44
913.0,1.51,3.3,1.44
915.0,1.5,3.3,1.44
917.0,1.43,3.3,1.44
919.0,1.43,3.3,1.44
921.0,1.49,3.3,1.44
923.0,1.54,3.3,1.44
925.0,1.45,0.0,1.44
927.0,1.35,0.0,1.45
929.0,1.4,0.0,1.44
931.0,1.43,0.0,1.44
933.0,1.44,3.3,1.44
935.0,1.46,3.3,1.44
937.0,1.43,3.3,1.44
939.0,1.39,3.3,1.44
941.0,1.36,3.3,1.44
943.0,1.34,3.3,1.44
945.0,1.31,0.0,1.44
947.0,1.25,0.0,1.45
949.0,1.3,0.0,1.45
951.0,1.32,0.0,1.44
953.0,1.43,3.3,1.44
955.0,1.42,3.3,1.44
957.0,1.37,3.3,1.44
959.0,1.35,3.3,1.44
961.0,1.34,3.3,1.44
963.0,1.3,3.3,1.45
965.0,1.3,0.0,1.44
967.0,1.23,0.0,1.44
969.0,1.2,0.0,1.44
971.0,1.24,0.0,1.44
973.0,1.34,3.3,1.44
975.0,1.44,3.3,1.44
977.0,1.41,3.3,1.44
979.0,1.45,3.3,1.44
982.0,1.46,3.3,1.44
983.0,1.43,3.3,1.44
985.0,1.4,0.0,1.44
987.0,1.34,0.0,1.45
989.0,1.33,0.0,1.44
991.0,1.38,0.0,1.44
993.0,1.45,3.3,1.44
995.0,1.5,3.3,1.44
997.0,1.48,3.3,1.44
999.0,1.44,3.3,1.44
1001.0,1.38,3.3,1.44
1003.0,1.38,3.3,1.44
1005.0,1.35,0.0,1.44
1007.0,1.3,0.0,1.45
1009.0,1.32,0.0,1.44
1011.0,1.41,0.0,1.44
1013.0,1.48,3.3,1.44
1015.0,1.52,3.3,1.44
1017.0,1.49,3.3,1.44
1019.0,1.45,3.3,1.44
1021.0,1.42,3.3,1.44
1024.0,1.38,3.3,1.44
1025.0,1.38,0.0,1.44
1027.0,1.33,0.0,1.45
1029.0,1.34,0.0,1.44
1031.0,1.36,0.0,1.44
1033.0,1.4,3.3,1.44
1035.0,1.44,3.3,1.44
1037.0,1.44,3.3,1.44
1039.0,1.4,3.3,1.44
1041.0,1.33,3.3,1.44
1043.0,1.35,3.14,1.44
1045.0,1.34,0.0,1.44
1047.0,1.31,0.0,1.44
1049.0,1.33,0.0,1.44
1051.0,1.37,0.0,1.44
1053.0,1.44,3.3,1.44
1055.0,1.48,3.3,1.44
1057.0,1.45,3.3,1.44
1059.0,1.42,3.3,1.44
1061.0,1.38,3.3,1.44
1063.0,1.31,2.41,1.44
1065.0,1.36,0.0,1.44
1067.0,1.3,0.0,1.45
1069.0,1.33,0.0,1.44
1071.0,1.34,0.0,1.44
1073.0,1.41,3.3,1.44
1075.0,1.51,3.3,1.44
1077.0,1.53,3.3,1.44
1079.0,1.51,3.3,1.44
1081.0,1.48,3.3,1.44
1083.0,1.46,1.99,1.44
1085.0,1.44,0.0,1.44
1087.0,1.39,0.0,1.45
1089.0,1.41,0.0,1.44
1091.0,1.45,0.0,1.44
1093.0,1.5,3.3,1.44
1095.0,1.55,3.3,1.44
1097.0,1.51,0.0,1.44
1099.0,1.45,0.0,1.44
1101.0,1.44,0.0,1.44
1103.0,1.41,0.0,1.45
1105.0,1.38,0.0,1.45
1107.0,1.35,0.0,1.45
1110.0,1.34,0.0,1.45
1111.0,1.44,0.0,1.45
1113.0,1.49,0.0,1.44
1115.0,1.5,0.0,1.44
1117.0,1.48,0.0,1.44
1119.0,1.47,0.0,1.44
1121.0,1.46,0.0,1.44
1123.0,1.46,0.0,1.44
1125.0,1.46,0.0,1.45
1127.0,1.43,0.0,3.3
1129.0,1.42,0.0,2.99
1131.0,1.45,0.0,0.99
1133.0,1.5,0.0,0.71
1135.0,1.54,0.0,0.72
1137.0,1.52,0.0,0.77
1139.0,1.58,0.0,0.83
1141.0,1.59,0.0,0.88
1143.0,1.53,0.0,0.93
1145.0,1.51,0.0,0.97
1147.0,1.47,0.0,3.3
1149.0,1.49,0.0,3.3
1152.0,1.51,0.0,2.62
1153.0,1.58,0.0,0.0
1155.0,1.63,0.0,0.0
1157.0,1.6,0.0,0.0
1159.0,1.55,0.0,0.0
1161.0,1.5,0.0,0.0
1163.0,1.5,0.0,0.11
1165.0,1.52,0.0,3.3
1167.0,1.47,0.0,3.3
1169.0,1.51,0.0,3.3
1171.0,1.55,0.0,3.3
1173.0,1.59,0.0,0.0
1175.0,1.58,0.0,0.0
1177.0,1.67,0.0,0.0
1179.0,1.62,0.0,3.3
1181.0,1.54,0.0,3.3
1183.0,1.51,0.0,3.3
1185.0,1.49,0.0,3.3
1187.0,1.44,0.0,3.3
1189.0,1.45,0.0,3.3
1191.0,1.48,0.0,3.3
1193.0,1.53,0.0,3.3
1195.0,1.54,0.0,3.3
1197.0,1.5,0.0,3.3
1199.0,1.47,0.0,3.3
1201.0,1.47,0.0,3.3
1203.0,1.45,0.0,3.3
1205.0,1.43,0.0,3.3
1207.0,1.4,0.0,3.3
1209.0,1.43,0.0,3.3
1211.0,1.45,0.0,3.3
1213.0,1.51,0.0,3.3
1215.0,1.51,0.0,3.3
1217.0,1.49,0.0,3.3
1219.0,1.48,0.0,3.3
1221.0,1.42,0.0,3.3
1223.0,1.46,0.0,3.3
1225.0,1.49,0.0,3.3
1227.0,1.46,0.0,3.3
1229.0,1.48,0.0,3.3
1231.0,1.54,0.0,3.3
1233.0,1.6,0.0,3.3
1235.0,1.61,0.0,3.3
1238.0,1.59,0.0,3.3
1239.0,1.55,0.0,3.3
1241.0,1.51,0.0,3.3
1243.0,1.44,0.0,3.3
1245.0,1.42,0.09,3.3
1247.0,1.41,0.27,3.3
1249.0,1.41,0.45,3.3
1251.0,1.45,0.62,3.3
1253.0,1.53,0.77,3.3
1255.0,1.55,0.91,3.3
1257.0,1.54,1.04,3.3
1259.0,1.53,1.16,3.3
1261.0,1.51,1.28,3.3
1263.0,1.49,1.39,3.3
1265.0,1.48,1.48,3.3
1267.0,1.45,1.57,3.3
1269.0,1.46,1.66,3.3
1271.0,1.49,1.73,3.3
1273.0,1.53,1.8,3.3
1275.0,1.56,1.86,3.3
1277.0,1.57,1.92,3.3
1280.0,1.55,1.97,3.3
1281.0,1.52,2.02,3.3
1283.0,1.48,2.06,3.3
1285.0,1.47,2.1,3.3
