time,ch1,ch2,ch3
399.0,1.44,1.46,0.0
401.0,1.45,1.46,0.0
403.0,1.44,1.46,0.0
405.0,1.43,1.46,0.0
407.0,1.44,1.46,0.09
409.0,1.49,1.46,0.18
411.0,1.51,1.46,0.27
413.0,1.45,1.46,0.38
415.0,1.51,1.46,0.47
417.0,1.57,1.46,0.55
419.0,1.56,1.46,0.62
421.0,1.55,1.46,0.69
423.0,1.52,1.46,0.76
425.0,1.52,1.46,0.83
428.0,1.53,1.46,0.93
429.0,1.55,1.46,0.98
431.0,1.56,1.46,1.06
433.0,1.58,1.46,1.13
435.0,1.58,1.46,1.15
437.0,1.57,1.46,1.2
439.0,1.54,1.46,1.26
441.0,1.54,1.46,1.29
443.0,1.55,1.46,1.31
445.0,1.55,1.46,1.35
447.0,1.54,1.46,1.38
449.0,1.5,1.46,1.44
451.0,1.54,1.46,1.5
453.0,1.57,1.46,1.52
455.0,1.56,1.46,1.55
457.0,1.57,1.46,1.57
459.0,1.56,1.45,1.61
461.0,1.54,1.46,1.63
463.0,1.52,1.46,1.64
465.0,1.44,1.46,1.67
467.0,1.47,1.46,1.68
470.0,1.53,1.46,1.68
471.0,1.54,1.45,1.72
473.0,1.55,1.45,1.74
475.0,1.53,1.45,1.74
477.0,1.52,1.45,1.74
479.0,1.58,1.45,1.75
481.0,1.5,1.45,1.75
483.0,1.49,1.45,1.75
485.0,1.49,1.45,1.78
487.0,1.5,1.45,1.82
489.0,1.54,1.45,1.84
491.0,1.55,1.45,1.85
493.0,1.56,1.45,1.82
495.0,1.54,1.45,1.81
497.0,1.53,1.45,1.8
499.0,1.53,1.45,1.79
501.0,1.5,1.45,1.78
503.0,1.47,1.45,1.8
505.0,1.47,1.45,1.79
507.0,1.45,1.45,1.77
509.0,1.41,1.45,1.76
512.0,1.48,1.45,2.96
513.0,1.53,1.45,3.3
515.0,1.53,1.45,3.3
517.0,1.52,1.45,3.3
519.0,1.49,1.45,3.3
521.0,1.45,1.45,3.3
523.0,1.4,1.45,3.3
525.0,1.4,1.45,3.3
527.0,1.39,1.45,3.3
529.0,1.41,1.45,3.3
531.0,1.45,1.45,3.3
533.0,1.46,1.45,3.3
535.0,1.44,1.45,3.3
537.0,1.42,1.45,3.3
539.0,1.42,1.45,3.3
541.0,1.39,1.45,3.3
543.0,1.41,1.45,3.3
545.0,1.39,1.45,3.3
547.0,1.38,1.45,3.3
549.0,1.4,1.46,3.29
551.0,1.41,1.45,3.15
553.0,1.4,1.45,2.99
556.0,1.39,1.45,2.86
557.0,1.47,1.45,2.74
559.0,1.44,1.45,2.62
561.0,1.41,1.45,2.51
563.0,1.37,1.46,2.41
565.0,1.34,1.46,2.33
567.0,1.32,1.46,2.23
569.0,1.37,1.46,2.13
571.0,1.42,1.46,2.04
573.0,1.45,1.46,1.96
575.0,1.45,1.45,1.9
