time,ch1,ch2,ch3,button
354.0,1.55,1.67,0.02,0
355.0,1.53,1.68,0.02,0
357.0,1.45,1.68,0.02,0
359.0,1.33,1.68,0.02,0
361.0,1.39,1.68,0.02,0
363.0,1.36,1.59,0.02,0
365.0,1.32,1.42,0.01,0
367.0,1.37,1.27,0.01,0
369.0,1.5,1.16,0.01,0
371.0,1.6,1.15,0.01,0
373.0,1.44,1.15,0.01,0
375.0,1.04,1.12,0.01,0
377.0,1.25,1.17,0.01,0
379.0,1.37,1.29,0.01,0
381.0,1.34,1.35,0.01,0
384.0,1.37,1.38,0.02,0
386.0,1.4,1.39,0.01,0
388.0,1.28,1.39,0.01,0
390.0,1.46,1.35,0.01,0
392.0,1.47,1.35,0.01,0
394.0,1.08,1.25,0.01,0
396.0,1.14,1.32,0.01,0
398.0,1.56,1.34,0.01,0
400.0,1.61,1.42,0.02,0
402.0,1.38,1.5,0.03,0
404.0,1.4,1.55,0.02,0
406.0,1.54,1.52,0.03,0
407.0,1.57,1.48,0.02,0
409.0,1.57,1.37,0.01,0
411.0,1.53,1.38,0.02,0
413.0,1.47,1.37,0.02,0
415.0,1.47,1.33,0.01,0
417.0,1.58,1.3,0.02,0
419.0,1.61,1.39,0.02,0
421.0,1.52,1.48,0.02,0
423.0,1.27,1.47,0.02,0
425.0,1.08,1.49,0.02,0
428.0,1.32,1.36,0.02,0
430.0,1.69,1.17,0.01,0
432.0,1.68,0.91,0.0,0
434.0,1.59,0.73,0.0,0
436.0,1.54,0.68,0.12,0
438.0,1.54,0.75,0.4,0
440.0,1.5,0.88,0.64,0
442.0,1.41,0.97,0.89,0
444.0,1.49,0.96,1.13,0
446.0,1.43,0.87,1.36,0
448.0,1.41,0.79,1.58,0
449.0,1.49,0.69,1.77,0
451.0,1.49,0.72,1.95,0
453.0,1.24,0.71,2.09,0
455.0,0.94,0.81,2.23,0
457.0,0.91,0.89,2.37,0
459.0,1.19,0.96,2.53,0
461.0,1.26,0.98,2.66,0
463.0,1.12,0.98,2.78,0
465.0,1.03,0.87,2.84,0
467.0,0.96,0.81,2.94,0
470.0,0.99,0.8,3.03,0
472.0,1.04,0.86,3.16,0
474.0,1.16,0.94,3.24,0
476.0,1.06,1.05,3.25,0
478.0,0.88,1.06,3.25,0
480.0,0.92,1.13,3.25,0
482.0,1.0,1.19,3.25,0
484.0,1.04,1.15,3.25,0
486.0,1.08,1.04,3.25,0
488.0,1.09,1.07,3.25,0
490.0,1.05,1.1,3.25,0
492.0,1.1,1.12,3.08,0
494.0,1.21,1.16,2.99,0
495.0,1.22,1.24,2.75,0
497.0,1.1,1.35,2.6,0
499.0,1.22,1.48,2.42,0
501.0,1.3,1.6,2.44,0
503.0,1.11,1.6,2.3,0
505.0,1.17,1.6,1.84,0
507.0,1.32,1.59,1.43,0
509.0,1.29,1.56,1.11,0
512.0,1.13,1.62,1.11,0
514.0,1.14,1.65,1.1,0
516.0,1.06,1.76,0.7,0
518.0,1.25,1.84,0.46,0
520.0,1.3,1.82,0.48,0
522.0,1.29,1.79,0.39,0
524.0,1.25,1.65,0.1,0
526.0,1.27,1.52,0.01,0
528.0,1.25,1.42,0.01,0
530.0,1.29,1.42,0.01,0
532.0,1.24,1.4,0.01,0
534.0,1.43,1.41,0.01,0
536.0,1.26,1.51,0.02,0
538.0,1.07,1.56,0.02,0
539.0,1.16,1.65,0.02,0
541.0,1.35,1.7,0.02,0
543.0,1.34,1.75,0.02,0
545.0,1.42,1.65,0.02,0
547.0,1.49,1.54,0.01,0
549.0,1.46,1.43,0.02,0
551.0,1.55,1.33,0.01,0
553.0,1.37,1.29,0.01,0
556.0,1.47,1.38,0.01,0
558.0,1.36,1.47,0.02,0
560.0,1.42,1.59,0.02,0
562.0,1.37,1.81,0.02,0
564.0,1.24,1.98,0.03,0
566.0,1.04,2.08,0.03,0
568.0,0.98,2.11,0.03,0
570.0,1.07,2.28,0.04,0
572.0,1.01,2.44,0.04,0
574.0,0.97,2.62,0.04,0
576.0,0.97,2.78,0.05,0
578.0,0.99,2.96,0.05,0
580.0,1.0,3.17,0.05,0
582.0,1.1,3.3,0.05,0
583.0,1.1,3.3,0.05,0
585.0,0.93,3.3,0.05,0
587.0,0.84,3.3,0.05,0
589.0,1.09,3.3,0.05,0
591.0,1.28,3.3,0.05,0
593.0,1.25,3.3,0.17,0
595.0,1.11,3.3,0.26,0
598.0,1.22,3.3,0.55,0
600.0,1.35,3.3,0.77,0
602.0,1.31,3.3,0.98,0
604.0,1.28,3.3,3.3,0
606.0,1.28,3.3,3.3,0
608.0,1.36,3.29,3.3,0
610.0,1.36,3.27,3.3,0
612.0,1.39,3.21,3.3,0
614.0,1.35,3.18,3.3,0
616.0,1.37,3.16,3.3,0
618.0,1.42,3.15,3.3,0
620.0,1.57,3.25,3.3,0
622.0,1.7,3.27,3.3,0
624.0,1.54,3.12,3.3,0
626.0,1.52,2.89,3.29,0
628.0,1.66,2.73,3.29,0
630.0,1.54,2.5,3.28,0
631.0,1.56,2.22,3.27,0
633.0,1.68,2.22,3.27,0
635.0,1.47,2.36,3.27,0
637.0,1.3,2.44,3.28,0
640.0,1.39,2.74,3.29,0
642.0,1.55,2.97,3.29,0
644.0,1.42,2.95,3.29,0
646.0,1.51,2.98,3.29,0
648.0,1.64,3.14,3.3,0
650.0,1.51,3.2,3.3,0
652.0,1.46,3.3,3.3,0
654.0,1.59,3.3,3.3,0
656.0,1.62,3.3,3.3,0
658.0,1.64,3.3,3.3,0
660.0,1.67,3.3,3.3,0
662.0,1.65,3.3,3.3,0
664.0,1.69,3.3,3.3,0
666.0,1.56,3.3,3.3,0
668.0,1.38,3.3,3.3,0
