time,ch1,ch2,ch3,button
354.0,1.36,0.0,2.38,0
356.0,1.38,0.0,2.41,0
358.0,1.27,0.03,2.43,0
360.0,1.21,0.24,2.46,0
361.0,1.15,3.3,2.53,0
363.0,1.15,3.3,2.47,0
365.0,1.21,1.01,2.3,0
367.0,1.2,0.0,2.26,0
369.0,1.24,0.0,2.24,0
371.0,1.4,0.0,2.21,0
373.0,1.46,0.0,2.19,0
375.0,1.34,0.0,2.18,0
377.0,1.21,0.0,2.17,0
379.0,1.18,0.02,2.17,0
381.0,1.18,3.3,2.21,0
384.0,1.17,3.3,2.16,0
386.0,1.27,1.57,1.97,0
388.0,1.34,0.0,1.87,0
390.0,1.32,0.0,1.83,0
392.0,1.43,0.0,1.78,0
394.0,1.37,0.0,1.77,0
396.0,1.18,0.0,1.76,0
398.0,1.34,0.0,1.72,0
400.0,1.63,2.63,1.85,0
402.0,1.55,3.3,1.82,0
403.0,1.53,3.3,1.76,0
405.0,1.59,3.25,1.67,0
407.0,1.58,0.0,1.54,0
409.0,1.71,0.0,1.48,0
411.0,1.83,0.0,1.44,0
413.0,1.84,0.0,1.42,0
415.0,1.64,0.0,1.45,0
417.0,1.61,0.0,1.46,0
419.0,1.63,3.3,1.61,0
421.0,1.57,3.3,1.58,0
423.0,1.57,3.3,1.55,0
425.0,1.6,3.3,1.47,0
428.0,1.61,0.0,1.35,0
430.0,1.64,0.0,1.32,0
432.0,1.62,0.0,1.28,0
434.0,1.59,0.0,1.32,0
436.0,1.53,0.0,1.38,0
438.0,1.46,0.0,1.41,0
440.0,1.4,3.3,1.57,0
442.0,1.32,3.3,1.58,0
444.0,1.31,3.3,1.56,0
446.0,1.42,3.3,1.51,0
448.0,1.5,0.0,1.39,0
449.0,1.46,0.0,1.37,0
451.0,1.46,0.0,1.36,0
453.0,1.42,0.0,1.35,0
455.0,1.29,0.0,1.36,0
457.0,1.23,0.0,1.39,0
459.0,1.18,3.3,1.55,0
461.0,1.15,3.3,1.54,0
463.0,1.16,3.3,1.5,0
465.0,1.13,3.3,1.42,0
467.0,1.21,0.0,1.29,0
470.0,1.39,0.0,1.26,0
472.0,1.42,0.0,1.26,0
474.0,1.38,0.0,1.26,0
476.0,1.29,0.0,1.29,0
478.0,1.25,0.0,1.28,0
480.0,1.22,3.3,1.41,0
482.0,1.13,3.3,1.42,0
484.0,1.13,3.3,1.4,0
486.0,1.17,3.3,1.34,0
488.0,1.29,0.0,1.21,0
490.0,1.43,0.0,1.2,0
492.0,1.36,0.0,1.2,0
493.0,1.25,0.0,1.21,0
495.0,1.25,0.0,1.24,0
497.0,1.29,0.0,1.22,0
499.0,1.26,3.3,1.35,0
501.0,1.15,3.3,1.34,0
503.0,1.22,3.3,1.32,0
505.0,1.33,3.3,1.29,0
507.0,1.35,0.0,1.17,0
509.0,1.4,0.0,1.15,0
512.0,1.42,0.0,1.18,0
514.0,1.42,0.0,1.2,0
516.0,1.33,0.0,1.19,0
518.0,1.19,0.0,1.19,0
520.0,1.22,3.3,1.22,0
522.0,1.27,3.3,1.15,0
524.0,1.26,3.3,1.12,0
526.0,1.33,3.3,1.06,0
528.0,1.4,0.0,0.93,0
530.0,1.55,0.0,0.92,0
532.0,1.58,0.0,0.94,0
534.0,1.49,0.0,0.95,0
536.0,1.41,0.0,0.95,0
538.0,1.39,0.0,0.95,0
540.0,1.34,3.3,1.09,0
541.0,1.34,3.3,1.07,0
543.0,1.45,3.3,1.0,0
545.0,1.54,3.3,0.95,0
547.0,1.51,2.71,0.87,0
549.0,1.56,0.0,0.8,0
551.0,1.74,0.0,0.83,0
553.0,1.74,0.0,0.86,0
556.0,1.67,0.0,0.91,0
558.0,1.61,3.3,1.01,0
560.0,1.49,3.3,1.04,0
