time,ch1,ch2,ch3,button
354.0,1.64,1.4,1.04,0
356.0,1.58,1.41,1.09,0
358.0,1.59,1.42,1.16,0
360.0,1.64,1.42,1.15,0
361.0,1.63,1.43,1.15,0
363.0,1.6,1.43,1.19,0
365.0,1.58,1.43,1.3,0
367.0,1.62,1.42,1.4,0
369.0,1.63,1.41,1.45,0
371.0,1.62,1.41,1.51,0
373.0,1.58,1.42,1.57,0
375.0,1.59,1.42,1.58,0
377.0,1.61,1.43,1.59,0
379.0,1.68,1.44,1.54,0
381.0,1.64,1.44,1.53,0
384.0,1.6,1.44,1.55,0
386.0,1.6,1.43,1.62,0
388.0,1.56,1.43,1.58,0
390.0,1.53,1.42,1.47,0
392.0,1.54,1.42,1.47,0
394.0,1.55,1.43,1.51,0
396.0,1.63,1.43,1.52,0
398.0,1.64,1.44,1.5,0
400.0,1.6,1.44,1.47,0
402.0,1.62,1.45,1.44,0
404.0,1.64,1.44,1.43,0
406.0,1.63,1.44,1.42,0
407.0,1.61,1.44,1.36,0
409.0,1.61,1.44,1.4,0
411.0,1.6,1.43,1.43,0
413.0,1.58,1.43,1.47,0
415.0,1.56,1.44,1.45,0
417.0,1.53,1.45,1.46,0
419.0,1.47,1.45,1.44,0
421.0,1.49,1.46,1.42,0
423.0,1.46,1.45,1.26,0
425.0,1.47,1.45,1.13,0
428.0,1.48,1.45,1.2,0
430.0,1.44,1.45,1.27,0
432.0,1.4,1.45,1.36,0
434.0,1.46,1.45,1.4,0
436.0,1.5,1.45,1.38,0
438.0,1.48,1.46,1.35,0
440.0,1.46,1.47,1.29,0
442.0,1.42,1.47,1.25,0
444.0,1.47,1.47,1.25,0
446.0,1.51,1.47,1.19,0
448.0,1.47,1.46,1.17,0
450.0,1.47,1.46,1.18,0
451.0,1.48,1.46,1.16,0
453.0,1.49,1.46,1.22,0
455.0,1.53,1.46,1.2,0
457.0,1.51,1.47,1.18,0
459.0,1.48,1.48,1.16,0
461.0,1.45,1.48,1.16,0
463.0,1.44,1.48,1.1,0
465.0,1.42,1.48,1.08,0
467.0,1.38,1.47,1.12,0
470.0,1.31,1.47,1.13,0
472.0,1.3,1.46,1.16,0
474.0,1.38,1.47,1.2,0
476.0,1.44,1.47,1.23,0
478.0,1.43,1.48,1.21,0
480.0,1.41,1.49,1.19,0
482.0,1.44,1.49,1.24,0
484.0,1.4,1.49,1.24,0
486.0,1.36,1.48,1.25,0
488.0,1.35,1.48,1.31,0
490.0,1.35,1.47,1.34,0
492.0,1.33,1.47,1.31,0
494.0,1.27,1.47,1.3,0
496.0,1.25,1.48,1.35,0
497.0,1.28,1.48,1.4,0
499.0,1.21,1.49,1.43,0
501.0,1.11,1.49,1.42,0
503.0,1.09,1.49,1.38,0
505.0,1.07,1.48,1.35,0
507.0,1.17,1.48,1.32,0
509.0,1.18,1.47,1.28,0
512.0,1.17,1.47,1.27,0
514.0,1.21,1.47,1.26,0
516.0,1.24,1.48,1.28,0
518.0,1.26,1.48,1.3,0
520.0,1.3,1.49,1.3,0
522.0,1.32,1.49,1.27,0
524.0,1.32,1.49,1.21,0
526.0,1.35,1.48,1.11,0
528.0,1.38,1.48,1.06,0
530.0,1.43,1.47,1.07,0
532.0,1.52,1.47,1.08,0
534.0,1.51,1.47,1.11,0
536.0,1.43,1.48,1.13,0
538.0,1.35,1.48,1.18,0
540.0,1.4,1.49,1.25,0
542.0,1.42,1.49,1.34,0
544.0,1.44,1.49,1.35,0
546.0,1.48,1.48,1.34,0
548.0,1.48,1.48,1.47,0
549.0,1.5,1.47,1.55,0
551.0,1.5,1.47,1.63,0
553.0,1.5,1.47,1.7,0
556.0,1.51,1.48,1.75,0
558.0,1.52,1.48,1.67,0
560.0,1.5,1.49,1.51,0
562.0,1.48,1.49,1.44,0
564.0,1.45,1.48,1.42,0
566.0,1.42,1.48,1.36,0
568.0,1.4,1.47,1.37,0
570.0,1.46,1.47,1.48,0
572.0,1.45,1.46,1.85,0
574.0,1.44,1.47,2.98,0
576.0,1.43,1.47,3.27,0
578.0,1.39,1.48,3.27,0
580.0,1.38,1.48,3.27,0
582.0,1.39,1.48,3.27,0
584.0,1.38,1.48,3.27,0
586.0,1.38,1.48,3.27,0
588.0,1.41,1.47,3.27,0
590.0,1.37,1.47,3.27,0
592.0,1.32,1.47,3.27,0
593.0,1.32,1.47,3.27,0
595.0,1.3,1.47,3.24,0
598.0,1.34,1.47,2.98,0
600.0,1.41,1.48,2.69,0
602.0,1.4,1.48,2.55,0
604.0,1.36,1.47,2.37,0
606.0,1.37,1.47,2.23,0
608.0,1.38,1.46,2.08,0
610.0,1.35,1.46,1.95,0
612.0,1.32,1.46,1.85,0
614.0,1.34,1.46,1.71,0
616.0,1.36,1.47,1.53,0
618.0,1.36,1.47,1.35,0
620.0,1.37,1.47,1.22,0
622.0,1.36,1.47,1.06,0
624.0,1.34,1.47,0.98,0
626.0,1.32,1.47,0.98,0
628.0,1.29,1.46,1.15,0
630.0,1.29,1.46,1.54,0
632.0,1.31,1.46,1.67,0
634.0,1.32,1.46,1.67,0
636.0,1.35,1.46,1.67,0
637.0,1.3,1.46,1.64,0
640.0,1.3,1.47,1.55,0
642.0,1.3,1.47,1.5,0
644.0,1.28,1.47,1.43,0
646.0,1.21,1.46,1.4,0
648.0,1.19,1.46,1.33,0
650.0,1.22,1.45,1.26,0
652.0,1.25,1.45,1.2,0
654.0,1.28,1.45,1.12,0
656.0,1.27,1.46,1.09,0
658.0,1.32,1.46,1.02,0
660.0,1.43,1.46,0.98,0
662.0,1.41,1.46,0.9,0
664.0,1.4,1.46,0.89,0
666.0,1.38,1.46,0.8,0
668.0,1.34,1.45,0.74,0
670.0,1.33,1.45,0.72,0
672.0,1.41,1.45,0.63,0
674.0,1.47,1.45,0.48,0
676.0,1.52,1.45,0.39,0
678.0,1.5,1.46,0.35,0
680.0,1.44,1.46,0.26,0
683.0,1.44,1.46,0.2,0
684.0,1.42,1.46,0.17,0
686.0,1.44,1.45,0.17,0
688.0,1.45,1.45,0.21,0
690.0,1.42,1.45,0.22,0
692.0,1.39,1.45,0.22,0
694.0,1.4,1.45,0.26,0
696.0,1.39,1.45,0.33,0
698.0,1.38,1.45,0.32,0
700.0,1.45,1.46,0.23,0
702.0,1.45,1.45,0.19,0
704.0,1.4,1.45,0.24,0
706.0,1.36,1.45,0.3,0
708.0,1.35,1.45,0.36,0
710.0,1.33,1.45,0.35,0
712.0,1.39,1.44,0.37,0
714.0,1.42,1.45,0.48,0
716.0,1.4,1.45,0.55,0
718.0,1.36,1.45,0.56,0
720.0,1.34,1.45,0.62,0
722.0,1.28,1.45,0.68,0
724.0,1.27,1.45,0.7,0
727.0,1.33,1.45,0.82,0
729.0,1.32,1.44,1.01,0
731.0,1.31,1.44,1.3,0
732.0,1.29,1.44,1.45,0
734.0,1.25,1.44,1.47,0
736.0,1.23,1.44,1.5,0
738.0,1.17,1.45,1.53,0
740.0,1.19,1.45,1.59,0
742.0,1.32,1.45,1.63,0
744.0,1.28,1.45,1.64,0
746.0,1.23,1.45,1.59,0
748.0,1.22,1.44,1.54,0
750.0,1.21,1.43,1.59,0
752.0,1.2,1.43,1.67,0
754.0,1.2,1.43,1.65,0
756.0,1.23,1.44,1.63,0
758.0,1.25,1.45,1.67,0
760.0,1.3,1.45,1.64,0
762.0,1.34,1.45,1.65,0
764.0,1.32,1.45,1.69,0
766.0,1.29,1.44,1.7,0
769.0,1.32,1.43,1.66,0
771.0,1.32,1.43,1.67,0
773.0,1.3,1.43,1.69,0
775.0,1.28,1.43,1.66,0
776.0,1.31,1.44,1.72,0
778.0,1.26,1.44,1.8,0
780.0,1.2,1.44,1.8,0
782.0,1.23,1.45,1.79,0
784.0,1.28,1.44,2.05,0
786.0,1.19,1.44,2.01,0
788.0,1.06,1.43,2.0,0
790.0,1.12,1.43,2.0,0
792.0,1.15,1.43,1.95,0
794.0,1.2,1.43,1.89,0
796.0,1.23,1.43,1.89,0
798.0,1.2,1.44,1.86,0
800.0,1.14,1.44,1.81,0
802.0,1.14,1.45,1.71,0
804.0,1.07,1.44,1.65,0
806.0,1.12,1.44,1.53,0
808.0,1.15,1.24,1.5,0
811.0,1.22,1.28,1.58,0
813.0,1.19,1.42,1.7,0
815.0,1.16,1.45,1.76,0
817.0,1.22,1.46,1.76,0
819.0,1.21,1.08,1.66,0
820.0,1.18,0.0,1.54,0
822.0,1.19,0.0,1.33,0
824.0,1.26,0.0,1.25,0
826.0,1.23,0.0,1.14,0
828.0,1.22,0.0,1.05,0
830.0,1.3,0.0,1.08,0
832.0,1.28,0.0,1.1,0
834.0,1.28,0.0,0.92,0
836.0,1.31,0.0,0.8,0
838.0,1.26,0.0,0.85,0
840.0,1.22,0.0,0.87,0
842.0,1.26,0.0,0.9,0
844.0,1.35,0.0,0.92,0
846.0,1.36,0.0,0.93,0
848.0,1.31,0.0,0.89,0
850.0,1.25,0.0,0.88,0
852.0,1.3,0.0,0.91,0
855.0,1.33,0.0,0.93,0
857.0,1.33,0.0,1.06,0
859.0,1.28,0.0,0.8,0
861.0,1.33,0.0,0.67,0
863.0,1.35,0.0,0.67,0
865.0,1.26,0.0,0.77,0
866.0,1.33,0.0,0.44,0
868.0,1.42,0.0,0.41,0
870.0,1.36,0.0,0.54,0
872.0,1.37,0.0,0.67,0
874.0,1.3,0.0,0.65,0
876.0,1.32,0.0,0.46,0
878.0,1.3,0.0,0.35,0
880.0,1.29,0.0,0.35,0
882.0,1.39,0.0,0.26,0
884.0,1.45,0.0,0.2,0
886.0,1.54,0.0,0.0,0
888.0,1.64,0.0,0.0,0
890.0,1.64,0.0,0.0,0
892.0,1.62,0.0,0.0,0
894.0,1.61,0.0,0.0,0
897.0,1.67,0.0,0.0,0
899.0,1.67,0.0,0.0,0
901.0,1.63,0.0,0.0,0
903.0,1.08,0.0,0.0,0
905.0,0.78,0.0,0.0,0
907.0,0.77,0.0,0.0,0
909.0,0.95,0.0,0.0,0
911.0,1.19,0.68,0.0,0
912.0,1.38,3.3,0.03,0
914.0,1.45,3.3,0.03,0
916.0,1.54,3.3,0.03,0
918.0,1.6,3.3,0.03,0
920.0,1.66,3.3,0.03,0
922.0,1.71,3.3,0.03,0
924.0,1.65,3.3,0.05,0
926.0,1.69,3.3,0.03,0
928.0,1.7,3.3,0.03,0
930.0,1.72,3.3,0.03,0
932.0,1.75,3.3,0.03,0
934.0,1.79,3.3,0.03,0
936.0,1.85,3.3,0.03,0
939.0,1.79,3.3,0.03,0
941.0,1.74,3.3,0.04,0
943.0,1.8,3.3,0.03,0
945.0,1.74,3.3,0.04,0
947.0,1.61,3.3,0.04,0
949.0,1.64,3.3,0.03,0
951.0,1.61,3.3,0.04,0
953.0,1.51,3.3,0.03,0
955.0,1.53,3.3,0.04,0
956.0,1.55,3.3,0.03,0
958.0,1.45,3.3,0.04,0
960.0,1.36,3.3,0.04,0
962.0,1.42,3.3,0.04,0
964.0,1.42,3.3,0.05,0
966.0,1.42,3.3,0.05,0
968.0,1.55,3.3,0.04,0
970.0,1.57,3.3,0.04,0
972.0,1.52,3.3,0.04,0
974.0,1.51,3.3,0.03,0
976.0,1.59,3.3,0.03,0
978.0,1.65,3.3,0.03,0
980.0,1.7,3.3,0.03,0
983.0,1.68,3.3,0.03,0
985.0,1.77,3.3,0.03,0
987.0,1.76,3.3,0.03,0
989.0,1.74,3.3,0.03,0
991.0,1.77,3.3,0.03,0
993.0,1.77,3.3,0.03,0
995.0,1.79,3.3,0.03,0
997.0,1.83,3.3,0.03,0
999.0,1.79,3.3,0.03,0
1001.0,1.75,3.3,0.03,0
1002.0,1.78,3.3,0.03,0
1004.0,1.82,3.3,0.03,0
1006.0,1.83,3.24,0.03,0
1008.0,1.73,3.07,0.02,0
1010.0,1.57,2.89,0.02,0
1012.0,1.68,2.74,0.02,0
1014.0,1.71,2.59,0.02,0
1016.0,1.73,2.46,0.01,0
1018.0,1.7,2.33,0.01,0
1020.0,1.65,2.22,0.01,0
1022.0,1.59,2.11,0.01,0
