time,ch1,ch2
530.0,0.36,1.45
532.0,0.39,1.6
534.0,0.4,1.72
536.0,0.34,1.79
538.0,0.44,1.74
540.0,0.47,1.62
542.0,0.8,1.61
544.0,1.06,1.44
547.0,1.2,1.39
549.0,1.32,1.45
551.0,1.35,1.5
553.0,1.28,1.48
555.0,1.27,1.59
556.0,1.18,1.6
558.0,1.14,1.5
560.0,1.25,1.39
562.0,1.42,1.24
564.0,1.49,1.09
566.0,1.53,1.13
568.0,1.51,1.24
570.0,1.35,1.38
572.0,1.3,1.55
574.0,1.19,1.69
576.0,0.99,1.67
578.0,0.87,1.71
580.0,0.81,1.5
582.0,0.99,1.52
584.0,1.14,1.49
586.0,1.15,1.41
589.0,1.16,1.33
591.0,1.1,1.32
593.0,1.07,1.41
595.0,1.1,1.52
597.0,0.95,1.61
599.0,0.86,1.56
600.0,0.88,1.54
602.0,0.93,1.53
604.0,1.07,1.44
606.0,1.1,1.46
608.0,1.12,1.65
610.0,1.03,1.64
612.0,1.01,1.73
614.0,0.89,1.75
616.0,0.8,1.72
618.0,0.82,1.73
620.0,0.92,1.71
622.0,0.98,1.32
624.0,1.24,1.26
626.0,1.31,1.26
628.0,1.28,1.22
631.0,1.35,1.32
633.0,1.33,1.36
635.0,1.25,1.45
637.0,1.27,1.53
639.0,1.39,1.41
641.0,1.52,1.24
642.0,1.65,1.27
644.0,1.72,1.14
646.0,1.78,1.11
648.0,1.79,1.14
650.0,1.64,1.1
652.0,1.55,1.11
654.0,1.45,1.3
656.0,1.35,1.35
658.0,1.39,1.44
660.0,1.43,1.5
662.0,1.51,1.35
664.0,1.6,1.27
666.0,1.58,1.19
668.0,1.53,1.22
670.0,1.45,1.39
672.0,1.25,1.39
675.0,1.15,1.49
677.0,1.15,1.58
679.0,1.18,1.66
681.0,1.23,1.58
683.0,1.42,1.53
684.0,1.59,1.26
686.0,1.61,1.14
688.0,1.6,1.13
690.0,1.54,1.08
692.0,1.49,1.1
694.0,1.43,1.23
696.0,1.3,1.27
698.0,1.32,1.37
700.0,1.34,1.33
702.0,1.46,1.31
704.0,1.58,1.18
706.0,1.57,1.28
708.0,1.57,1.36
710.0,1.5,1.45
712.0,1.42,1.46
714.0,1.3,1.42
717.0,1.21,1.42
719.0,1.25,1.45
721.0,1.32,1.24
723.0,1.46,1.09
725.0,1.51,0.86
727.0,1.44,0.9
728.0,1.3,0.84
730.0,1.18,0.81
732.0,1.08,0.81
734.0,1.04,0.97
736.0,0.85,1.0
738.0,0.8,0.96
740.0,0.79,0.97
742.0,0.85,0.89
744.0,0.99,0.69
746.0,1.04,0.56
748.0,0.95,0.43
750.0,0.88,0.48
752.0,0.86,0.48
754.0,0.77,0.58
756.0,0.65,0.58
759.0,0.65,0.5
761.0,0.78,0.26
763.0,0.91,0.14
765.0,0.99,0.05
767.0,1.01,0.01
769.0,1.08,0.05
770.0,1.09,0.14
772.0,1.05,0.13
774.0,1.15,0.35
776.0,1.17,0.53
778.0,1.2,0.64
780.0,1.39,0.8
782.0,1.5,0.8
784.0,1.55,0.67
786.0,1.59,0.63
788.0,1.61,0.76
790.0,1.59,0.83
792.0,1.54,0.89
794.0,1.47,0.79
796.0,1.4,0.81
798.0,1.32,0.76
800.0,1.47,0.73
803.0,1.48,0.61
805.0,1.45,0.59
807.0,1.36,0.65
809.0,1.3,0.8
811.0,1.23,0.99
812.0,1.19,1.13
814.0,1.13,1.21
816.0,0.96,1.13
818.0,0.81,0.88
820.0,0.87,1.0
822.0,1.03,1.06
824.0,1.16,1.1
826.0,1.19,1.15
828.0,1.22,1.32
830.0,1.07,1.43
832.0,1.06,1.73
834.0,1.01,1.84
836.0,0.94,1.92
838.0,1.11,1.84
840.0,1.32,1.83
842.0,1.46,1.71
845.0,1.6,1.71
847.0,1.65,1.65
849.0,1.68,1.74
851.0,1.69,1.97
853.0,1.64,2.07
855.0,1.54,2.21
856.0,1.44,2.22
858.0,1.47,2.22
860.0,1.53,2.11
862.0,1.73,2.03
864.0,1.87,1.94
866.0,1.86,2.04
868.0,1.91,2.17
870.0,1.84,2.25
872.0,1.77,2.38
874.0,1.64,2.5
876.0,1.46,2.45
878.0,1.48,2.51
880.0,1.58,2.53
882.0,1.5,2.41
884.0,1.61,2.33
887.0,1.68,2.35
889.0,1.69,2.23
891.0,1.6,2.24
893.0,1.65,2.29
895.0,1.59,2.28
897.0,1.52,2.25
898.0,1.55,2.17
900.0,1.56,1.8
902.0,1.74,1.87
904.0,1.86,1.69
906.0,1.77,1.57
908.0,1.77,1.59
910.0,1.66,1.6
912.0,1.54,1.61
914.0,1.48,1.67
916.0,1.37,1.66
918.0,1.23,1.72
920.0,1.25,1.7
922.0,1.32,1.55
924.0,1.38,1.41
926.0,1.5,1.37
928.0,1.51,1.19
931.0,1.55,1.31
933.0,1.6,1.35
935.0,1.49,1.33
937.0,1.36,1.36
939.0,1.31,1.32
940.0,1.34,1.07
942.0,1.51,1.01
944.0,1.58,0.93
946.0,1.65,0.97
948.0,1.62,1.06
950.0,1.49,1.1
952.0,1.32,1.02
954.0,1.23,0.98
956.0,1.18,0.97
958.0,1.18,0.97
960.0,1.19,0.97
962.0,1.26,0.83
964.0,1.3,0.64
966.0,1.43,0.65
968.0,1.47,0.69
970.0,1.37,0.68
973.0,1.41,0.82
975.0,1.31,0.95
977.0,1.2,1.0
979.0,1.22,1.04
981.0,1.33,1.03
983.0,1.37,0.89
984.0,1.52,0.83
986.0,1.59,0.75
988.0,1.58,0.7
990.0,1.55,0.85
992.0,1.49,0.95
994.0,1.47,1.05
996.0,1.44,1.22
998.0,1.45,1.18
1000.0,1.5,1.08
1002.0,1.68,0.95
1004.0,1.75,0.77
1006.0,1.81,0.79
1008.0,1.89,0.96
1010.0,1.82,1.02
1012.0,1.81,1.12
1015.0,1.68,1.18
1017.0,1.55,1.12
1019.0,1.59,1.21
1021.0,1.63,1.17
1023.0,1.7,1.02
1025.0,1.84,0.93
1026.0,1.91,0.93
1028.0,1.79,0.89
1030.0,1.73,1.17
1032.0,1.61,1.39
1034.0,1.55,1.61
1036.0,1.48,1.62
1038.0,1.46,1.6
1040.0,1.52,1.57
1042.0,1.66,1.56
1044.0,1.81,1.42
1046.0,1.8,1.54
1048.0,1.77,1.66
1050.0,1.62,1.83
1052.0,1.59,2.01
1054.0,1.49,2.19
1056.0,1.33,2.15
1059.0,1.38,2.2
1061.0,1.44,2.12
1063.0,1.56,1.98
1065.0,1.71,1.82
1067.0,1.74,1.75
1069.0,1.66,1.58
1070.0,1.69,1.77
1072.0,1.65,1.74
1074.0,1.56,1.83
1076.0,1.45,1.98
1078.0,1.52,2.05
1080.0,1.61,1.78
1082.0,1.77,1.73
1084.0,1.9,1.51
1086.0,1.89,1.49
1088.0,1.94,1.63
1090.0,1.86,1.62
1092.0,1.79,1.65
1094.0,1.72,1.77
1096.0,1.61,1.73
1098.0,1.65,1.85
1101.0,1.76,1.75
1103.0,1.87,1.68
1105.0,1.95,1.52
1107.0,1.94,1.43
1109.0,1.94,1.46
1111.0,1.87,1.56
1112.0,1.9,1.56
1114.0,1.77,1.61
1116.0,1.63,1.64
1118.0,1.67,1.76
1120.0,1.68,1.58
1122.0,1.8,1.54
1124.0,1.93,1.51
1126.0,1.92,1.59
1128.0,1.88,1.71
1130.0,1.85,1.81
1132.0,1.85,1.91
1134.0,1.82,2.05
1136.0,1.74,2.09
1138.0,1.85,2.24
1140.0,1.83,2.12
1143.0,1.88,2.02
1145.0,2.01,1.99
1147.0,2.08,1.99
1149.0,2.07,1.93
1151.0,2.07,2.05
1153.0,2.02,2.14
1155.0,1.98,2.17
1156.0,1.89,2.15
1158.0,1.95,2.06
1160.0,1.92,1.95
1162.0,2.02,1.87
1164.0,2.15,1.74
1166.0,2.09,1.63
1168.0,2.04,1.68
1170.0,1.86,1.54
1172.0,1.81,1.62
1174.0,1.78,1.75
1176.0,1.69,1.75
1178.0,1.76,1.75
1180.0,1.74,1.61
1182.0,1.87,1.41
1184.0,2.0,1.26
1187.0,2.05,1.26
1189.0,2.05,1.33
1191.0,1.94,1.37
1193.0,1.81,1.41
1195.0,1.67,1.42
1197.0,1.48,1.44
1198.0,1.47,1.38
1200.0,1.54,1.21
1202.0,1.65,1.15
1204.0,1.76,1.06
1206.0,1.83,1.1
1208.0,1.84,1.18
1210.0,1.79,1.3
1212.0,1.7,1.35
1214.0,1.55,1.38
1216.0,1.45,1.34
1218.0,1.43,1.37
1220.0,1.47,1.35
1222.0,1.67,1.24
1224.0,1.77,1.04
1226.0,1.82,1.22
1229.0,1.65,1.2
1231.0,1.51,1.24
1233.0,1.48,1.5
1235.0,1.39,1.61
