time,ch1,ch2
531.0,1.54,0.97
533.0,1.63,0.86
535.0,1.65,0.96
537.0,1.66,1.04
539.0,1.67,1.19
541.0,1.6,1.3
543.0,1.46,1.41
545.0,1.42,1.53
547.0,1.41,1.58
549.0,1.45,1.51
551.0,1.49,1.38
553.0,1.53,1.15
556.0,1.59,1.23
558.0,1.61,1.42
560.0,1.58,1.5
562.0,1.57,2.16
564.0,1.46,2.31
565.0,1.43,2.12
567.0,1.42,1.96
569.0,1.49,1.75
571.0,1.52,1.49
573.0,1.62,1.27
575.0,1.69,1.29
577.0,1.66,1.33
579.0,1.6,1.33
581.0,1.5,1.3
583.0,1.4,1.33
585.0,1.39,1.25
587.0,1.4,1.25
589.0,1.5,1.25
591.0,1.59,1.44
593.0,1.59,1.09
595.0,1.63,1.28
598.0,1.63,1.43
600.0,1.55,1.46
602.0,1.49,1.27
604.0,1.39,1.17
606.0,1.38,1.14
608.0,1.38,1.09
609.0,1.45,1.01
611.0,1.51,0.86
613.0,1.52,0.76
615.0,1.57,0.95
617.0,1.53,1.11
619.0,1.52,1.24
621.0,1.4,1.28
623.0,1.3,1.35
625.0,1.29,1.45
627.0,1.28,1.45
629.0,1.35,1.31
631.0,1.47,1.22
633.0,1.56,1.06
635.0,1.54,1.11
637.0,1.59,1.3
640.0,1.52,1.38
642.0,1.45,1.41
644.0,1.35,1.44
646.0,1.37,1.58
648.0,1.34,2.04
650.0,1.38,1.56
651.0,1.46,1.24
653.0,1.47,1.08
655.0,1.51,1.18
657.0,1.54,1.32
659.0,1.53,1.5
661.0,1.41,1.52
663.0,1.29,1.56
665.0,1.33,1.78
667.0,1.3,1.71
669.0,1.34,1.52
671.0,1.39,1.4
673.0,1.43,1.25
675.0,1.46,1.35
677.0,1.52,1.4
679.0,1.46,1.35
681.0,1.41,1.37
684.0,1.28,1.42
686.0,1.28,1.71
688.0,1.27,1.67
690.0,1.33,1.55
692.0,1.44,1.33
693.0,1.51,1.31
695.0,1.54,1.48
697.0,1.6,1.71
699.0,1.51,1.67
701.0,1.48,1.62
703.0,1.35,1.69
705.0,1.37,1.88
707.0,1.39,1.97
709.0,1.47,2.2
711.0,1.53,1.77
713.0,1.57,1.49
715.0,1.63,1.52
717.0,1.63,1.64
719.0,1.54,1.7
721.0,1.53,1.75
723.0,1.36,1.64
726.0,1.35,1.67
728.0,1.35,1.8
730.0,1.39,1.8
732.0,1.47,1.68
734.0,1.49,1.45
736.0,1.51,1.48
737.0,1.51,1.59
739.0,1.44,1.67
741.0,1.39,1.79
743.0,1.3,1.87
745.0,1.28,1.91
747.0,1.24,1.88
749.0,1.29,1.72
751.0,1.32,1.54
753.0,1.39,1.41
755.0,1.51,1.46
757.0,1.53,2.23
759.0,1.46,2.54
761.0,1.44,2.1
763.0,1.31,1.88
765.0,1.31,1.87
768.0,1.31,1.81
770.0,1.37,1.67
772.0,1.45,1.49
774.0,1.48,1.24
776.0,1.59,1.2
778.0,1.51,1.05
779.0,1.48,1.05
781.0,1.49,1.48
783.0,1.33,1.34
785.0,1.38,1.31
787.0,1.4,1.26
789.0,1.44,1.14
791.0,1.52,1.17
793.0,1.62,1.24
795.0,1.64,1.4
797.0,1.6,1.55
799.0,1.54,1.66
801.0,1.46,1.6
803.0,1.35,1.64
805.0,1.36,1.68
807.0,1.35,1.45
809.0,1.38,1.25
812.0,1.45,1.04
814.0,1.48,0.83
816.0,1.54,0.88
818.0,1.52,0.95
820.0,1.46,1.12
821.0,1.39,1.33
823.0,1.3,1.39
825.0,1.29,1.28
827.0,1.25,1.59
829.0,1.34,1.35
831.0,1.41,1.0
833.0,1.48,0.79
835.0,1.55,0.85
837.0,1.53,0.95
839.0,1.51,1.07
841.0,1.47,1.2
843.0,1.36,1.26
845.0,1.34,1.42
847.0,1.33,1.37
849.0,1.36,1.22
851.0,1.52,1.12
854.0,1.55,1.02
856.0,1.56,1.21
858.0,1.55,2.11
860.0,1.46,1.88
862.0,1.38,1.57
864.0,1.31,1.46
865.0,1.27,1.47
867.0,1.24,1.4
869.0,1.31,1.26
871.0,1.4,1.12
873.0,1.44,1.12
875.0,1.49,1.52
877.0,1.47,1.75
879.0,1.39,1.81
881.0,1.38,1.87
883.0,1.25,1.86
885.0,1.26,2.21
887.0,1.22,2.08
889.0,1.25,1.81
891.0,1.35,1.58
893.0,1.38,1.43
896.0,1.47,1.7
898.0,1.51,1.87
900.0,1.48,1.93
902.0,1.45,1.91
904.0,1.37,2.0
906.0,1.42,2.17
907.0,1.42,1.82
909.0,1.48,1.49
911.0,1.54,1.16
913.0,1.57,1.03
915.0,1.62,1.15
917.0,1.52,1.25
919.0,1.42,1.24
921.0,1.41,1.32
923.0,1.27,1.31
925.0,1.27,1.41
927.0,1.28,1.41
929.0,1.33,1.74
931.0,1.39,1.28
933.0,1.42,1.0
935.0,1.46,1.07
937.0,1.42,1.16
940.0,1.4,1.15
942.0,1.37,1.15
944.0,1.27,1.1
946.0,1.25,1.15
948.0,1.31,1.14
949.0,1.37,1.02
951.0,1.46,0.88
953.0,1.51,0.78
955.0,1.54,1.0
957.0,1.52,1.19
959.0,1.53,1.38
961.0,1.45,1.57
963.0,1.33,1.75
965.0,1.32,2.01
967.0,1.35,2.05
969.0,1.43,2.44
971.0,1.48,1.95
973.0,1.49,1.57
975.0,1.54,1.5
977.0,1.55,1.52
979.0,1.51,1.47
982.0,1.51,1.49
984.0,1.38,1.43
986.0,1.43,1.53
988.0,1.46,1.44
990.0,1.53,1.3
992.0,1.65,1.44
993.0,1.68,1.52
995.0,1.75,1.74
997.0,1.71,1.74
999.0,1.67,1.69
1001.0,1.59,1.58
1003.0,1.42,1.45
1005.0,1.41,1.4
1007.0,1.37,1.31
1009.0,1.45,1.25
1011.0,1.55,1.08
1013.0,1.57,0.86
1015.0,1.62,0.92
1017.0,1.6,1.01
1019.0,1.59,1.14
1021.0,1.5,1.24
1024.0,1.37,1.25
1026.0,1.39,1.35
1028.0,1.41,1.33
1030.0,1.5,1.22
1032.0,1.61,1.03
1034.0,1.67,0.89
1035.0,1.73,1.02
1037.0,1.7,1.13
1039.0,1.66,1.4
1041.0,1.6,1.42
1043.0,1.46,1.52
1045.0,1.47,1.68
1047.0,1.46,1.57
1049.0,1.55,1.47
1051.0,1.62,1.34
1053.0,1.63,1.21
1055.0,1.7,1.35
1057.0,1.69,1.64
1059.0,1.66,2.05
1061.0,1.58,2.05
1063.0,1.43,1.97
1065.0,1.44,2.02
1068.0,1.36,1.8
1070.0,1.47,1.74
1072.0,1.56,1.42
1074.0,1.62,1.27
1076.0,1.64,1.29
1078.0,1.65,1.36
1079.0,1.59,1.45
1081.0,1.53,1.5
1083.0,1.41,1.87
1085.0,1.45,1.82
1087.0,1.42,1.66
1089.0,1.5,1.47
1091.0,1.61,1.21
1093.0,1.6,1.09
1095.0,1.63,1.17
1097.0,1.6,1.36
1099.0,1.57,1.44
1101.0,1.55,1.55
1103.0,1.42,1.57
1105.0,1.42,1.66
1107.0,1.46,1.59
1110.0,1.47,1.34
1112.0,1.52,1.16
1114.0,1.56,1.09
1116.0,1.63,1.25
1118.0,1.62,1.43
1120.0,1.55,1.53
1121.0,1.47,1.55
1123.0,1.35,1.61
1125.0,1.36,1.79
1127.0,1.38,1.72
1129.0,1.48,1.59
1131.0,1.5,1.44
1133.0,1.5,1.28
1135.0,1.55,1.41
1137.0,1.58,1.61
1139.0,1.49,1.71
1141.0,1.51,1.82
1143.0,1.43,1.86
1145.0,1.44,1.96
1147.0,1.51,1.93
1149.0,1.6,1.85
1152.0,1.68,1.59
1154.0,1.72,1.43
1156.0,1.84,1.55
1158.0,1.77,1.61
1160.0,1.71,1.66
1162.0,1.53,1.69
1164.0,1.29,1.63
1165.0,1.26,1.8
1167.0,1.25,1.97
1169.0,1.32,2.15
1171.0,1.42,2.05
1173.0,1.43,2.31
1175.0,1.41,2.12
1177.0,1.44,2.05
1179.0,1.36,2.08
1181.0,1.37,2.42
1183.0,1.21,2.55
1185.0,1.23,2.69
1187.0,1.29,2.51
1189.0,1.34,2.26
1191.0,1.45,1.92
1193.0,1.48,1.72
1196.0,1.54,1.82
1198.0,1.48,1.87
1200.0,1.42,1.9
1202.0,1.36,1.99
1204.0,1.19,1.9
1206.0,1.22,1.94
1207.0,1.25,1.91
