time,ch3
799.74,1.2
801.74,1.43
803.74,1.52
805.74,1.35
807.74,1.29
810.74,0.95
812.74,0.81
814.74,0.93
816.74,1.08
818.74,1.37
819.74,1.48
821.74,1.7
823.74,1.69
825.74,1.69
827.74,1.41
829.74,1.05
831.74,1.09
833.74,1.13
835.74,1.15
837.74,1.45
839.74,1.46
841.74,1.67
843.74,1.84
845.74,1.61
847.74,1.3
849.74,1.01
852.74,1.11
854.74,1.17
856.74,1.29
858.74,1.49
860.74,1.58
862.74,1.74
863.74,1.86
865.74,1.7
867.74,1.42
869.74,1.12
871.74,1.29
873.74,1.48
875.74,1.56
877.74,1.65
879.74,1.72
881.74,1.72
883.74,1.79
885.74,1.52
887.74,1.36
889.74,0.91
891.74,0.81
894.74,0.76
896.74,0.85
898.74,0.87
900.74,1.02
902.74,1.1
904.74,1.27
905.74,1.1
907.74,0.91
909.74,0.46
911.74,0.35
913.74,0.49
915.74,0.66
917.74,0.89
919.74,1.11
921.74,1.18
923.74,1.43
925.74,1.26
927.74,0.96
929.74,0.57
931.74,0.74
933.74,0.72
935.74,0.85
938.74,1.05
940.74,1.28
942.74,1.43
944.74,1.59
946.74,1.31
947.74,0.98
949.74,0.63
951.74,0.69
953.74,0.79
955.74,0.79
957.74,0.92
959.74,1.01
961.74,1.05
963.74,1.21
965.74,1.06
967.74,0.97
969.74,0.74
971.74,0.66
973.74,0.92
975.74,1.05
977.74,1.17
980.74,1.39
982.74,1.73
984.74,2.01
986.74,2.03
988.74,1.78
990.74,1.48
991.74,1.44
993.74,1.42
995.74,1.33
997.74,1.49
999.74,1.72
1001.74,1.85
1003.74,2.04
1005.74,1.88
1007.74,1.63
1009.74,1.1
1011.74,0.98
1013.74,1.13
1015.74,1.3
1017.74,1.52
1019.74,1.77
1022.74,2.02
1024.74,2.08
1026.74,1.98
1028.74,1.75
1030.74,1.38
1032.74,1.36
1033.74,1.4
1035.74,1.63
1037.74,1.83
1039.74,1.92
1041.74,2.02
1043.74,2.04
1045.74,1.7
1047.74,1.64
1049.74,1.37
1051.74,1.37
1053.74,1.45
1055.74,1.55
1057.74,1.67
1059.74,1.8
1061.74,1.8
1063.74,1.91
1066.74,1.86
1068.74,1.62
1070.74,1.17
1072.74,1.08
1074.74,1.15
1076.74,1.01
1077.74,1.2
1079.74,1.48
1081.74,1.75
1083.74,1.99
1085.74,1.79
1087.74,1.6
1089.74,1.18
1091.74,1.26
1093.74,1.5
1095.74,1.54
1097.74,1.73
1099.74,2.01
1101.74,2.16
1103.74,2.26
1105.74,2.02
1108.74,1.74
1110.74,1.28
1112.74,1.23
1114.74,1.22
1116.74,1.52
1118.74,1.58
1119.74,1.9
1121.74,2.08
1123.74,2.24
1125.74,2.12
1127.74,1.89
1129.74,1.44
1131.74,1.55
1133.74,1.66
1135.74,1.83
1137.74,1.93
1139.74,1.95
1141.74,2.08
1143.74,2.35
1145.74,2.29
1147.74,2.06
1150.74,1.67
1152.74,1.38
1154.74,1.35
1156.74,1.44
1158.74,1.72
1160.74,1.78
1162.74,1.92
1163.74,2.03
1165.74,1.85
1167.74,1.68
1169.74,1.39
1171.74,1.45
1173.74,1.6
1175.74,1.59
1177.74,1.6
1179.74,1.76
1181.74,1.95
1183.74,2.01
1185.74,1.83
1187.74,1.62
1189.74,1.32
1191.74,1.16
1194.74,1.28
1196.74,1.3
1198.74,1.53
1200.74,1.68
1202.74,1.87
1204.74,2.0
1205.74,1.88
1207.74,1.68
1209.74,1.18
1211.74,0.98
1213.74,1.03
1215.74,1.18
1217.74,1.26
1219.74,1.5
1221.74,1.67
1223.74,1.75
1225.74,1.54
1227.74,1.26
1229.74,0.85
1231.74,0.89
1233.74,1.03
1236.74,1.24
1238.74,1.25
1240.74,1.42
1242.74,1.59
1244.74,1.67
1246.74,1.42
1248.74,1.22
1249.74,0.91
1251.74,0.85
1253.74,0.9
1255.74,1.06
1257.74,1.33
1259.74,1.59
1261.74,1.76
1263.74,1.92
1265.74,1.85
1267.74,1.71
1269.74,1.55
1271.74,1.55
1273.74,1.6
1275.74,1.63
1278.74,1.67
1280.74,1.93
1282.74,2.06
1284.74,2.24
1286.74,2.08
1288.74,1.83
1290.74,1.42
1291.74,1.36
1293.74,1.33
1295.74,1.35
1297.74,1.43
1299.74,1.7
1301.74,1.93
1303.74,2.13
1305.74,1.86
1307.74,1.58
1309.74,1.23
1311.74,1.22
1313.74,1.28
1315.74,1.38
1317.74,1.61
1319.74,1.79
1322.74,1.95
1324.74,1.99
1326.74,1.88
1328.74,1.63
1330.74,1.35
1332.74,1.32
1334.74,1.28
1335.74,1.45
1337.74,1.8
1339.74,1.99
1341.74,2.12
1343.74,2.06
1345.74,1.8
1347.74,1.55
1349.74,1.3
1351.74,1.27
1353.74,1.41
1355.74,1.49
1357.74,1.72
1359.74,1.88
1361.74,1.97
1364.74,2.09
1366.74,2.01
1368.74,1.72
1370.74,1.48
1372.74,1.44
1374.74,1.49
1376.74,1.31
1377.74,1.21
1379.74,1.54
1381.74,1.75
1383.74,1.88
1385.74,1.85
1387.74,1.69
1389.74,1.26
1391.74,1.26
1393.74,1.14
1395.74,1.25
1397.74,1.5
1399.74,1.72
1401.74,1.87
1403.74,2.17
1406.74,2.04
1408.74,1.86
1410.74,1.42
1412.74,1.42
1414.74,1.27
1416.74,1.45
1418.74,1.46
1420.74,1.64
1421.74,1.76
1423.74,1.85
1425.74,1.52
1427.74,1.32
1429.74,1.16
1431.74,1.27
1433.74,1.27
1435.74,1.5
1437.74,1.65
1439.74,2.01
1441.74,2.15
1443.74,2.24
1445.74,1.98
1447.74,1.86
1450.74,1.49
1452.74,1.53
1454.74,1.69
1456.74,1.89
1458.74,1.9
1460.74,1.99
1462.74,2.13
1463.74,2.19
1465.74,1.99
1467.74,1.82
1469.74,1.41
1471.74,1.39
1473.74,1.37
1475.74,1.36
1477.74,1.46
1479.74,1.68
1481.74,1.74
1483.74,1.94
1485.74,1.85
1487.74,1.65
1489.74,1.32
1492.74,1.47
1494.74,1.51
1496.74,1.58
1498.74,1.74
1500.74,1.95
1502.74,2.14
1504.74,2.29
1506.74,2.03
1507.74,1.71
1509.74,1.25
1511.74,1.15
1513.74,1.15
1515.74,1.28
1517.74,1.4
1519.74,1.51
1521.74,1.63
1523.74,1.65
1525.74,1.35
1527.74,1.16
1529.74,0.86
1531.74,0.83
1534.74,0.97
1536.74,1.16
1538.74,1.34
1540.74,1.54
1542.74,1.68
1544.74,1.68
1546.74,1.58
1548.74,1.2
1550.74,0.78
1551.74,0.8
1553.74,0.89
1555.74,0.96
1557.74,1.01
1559.74,1.18
1561.74,1.34
1563.74,1.4
1565.74,1.3
1567.74,1.12
1569.74,0.75
1571.74,0.75
1573.74,0.74
1575.74,0.77
1578.74,0.99
1580.74,1.21
1582.74,1.46
1584.74,1.51
1586.74,1.45
1588.74,1.2
1590.74,0.98
1592.74,0.88
1593.74,0.77
1595.74,0.92
1597.74,1.12
1599.74,1.48
1601.74,1.76
1603.74,1.89
1605.74,1.53
1607.74,1.6
1609.74,1.43
1611.74,1.26
1613.74,1.2
1615.74,1.26
1617.74,1.63
1620.74,2.25
1622.74,2.49
1624.74,2.7
1626.74,2.54
1628.74,2.36
1630.74,1.91
1632.74,1.91
1634.74,2.0
1636.74,2.32
1637.74,2.6
1639.74,2.37
1641.74,1.97
1643.74,2.11
1645.74,1.57
1647.74,0.89
1649.74,0.53
1651.74,0.27
1653.74,0.19
1655.74,0.51
1657.74,0.92
1659.74,0.89
1662.74,0.83
1664.74,0.89
1666.74,0.78
1668.74,0.81
1670.74,0.7
1672.74,0.95
1674.74,0.72
1676.74,0.12
1678.74,0.05
1679.74,0.19
1681.74,0.3
1683.74,0.52
1685.74,1.19
1687.74,1.47
1689.74,1.53
1691.74,1.65
1693.74,2.17
1695.74,2.69
1697.74,3.3
1699.74,3.3
1701.74,3.3
1703.74,3.3
1706.74,3.3
1708.74,3.3
1710.74,3.3
1712.74,3.3
1714.74,3.3
1716.74,3.3
1718.74,3.3
1720.74,3.3
1722.74,3.3
1723.74,3.3
1725.74,3.3
1727.74,3.3
1729.74,3.3
1731.74,3.3
1733.74,3.3
1735.74,3.3
1737.74,3.3
1739.74,3.3
1741.74,3.3
1743.74,3.3
1745.74,3.3
1748.74,3.3
1750.74,3.3
1752.74,3.3
1754.74,3.3
1756.74,3.3
1758.74,3.3
1760.74,3.3
1762.74,3.3
1764.74,3.3
1765.74,3.3
1767.74,3.3
1769.74,3.3
1771.74,3.3
1773.74,3.3
1775.74,3.3
1777.74,3.3
1779.74,3.3
1781.74,3.3
1783.74,3.3
1785.74,3.3
1787.74,3.3
1790.74,3.3
1792.74,3.3
1794.74,3.3
1796.74,3.3
1798.74,3.3
1800.74,3.3
1802.74,3.3
1804.74,2.84
1806.74,2.05
1808.74,1.47
1809.74,0.62
1811.74,0.0
1813.74,0.0
1815.74,0.0
1817.74,0.0
1819.74,0.0
1821.74,0.0
1823.74,0.0
1825.74,0.0
1827.74,0.0
1829.74,0.0
1831.74,0.0
1834.74,0.0
1836.74,0.0
1838.74,0.0
1840.74,0.0
1842.74,0.0
1844.74,0.0
1846.74,0.0
1848.74,0.0
1850.74,0.0
1851.74,0.0
1853.74,0.0
1855.74,0.0
1857.74,0.0
1859.74,0.0
1861.74,0.0
1863.74,0.0
1865.74,0.0
1867.74,0.0
1869.74,0.0
1871.74,0.0
1873.74,0.0
1876.74,0.0
1878.74,0.0
1880.74,0.0
1882.74,0.0
1884.74,0.0
1886.74,0.0
1888.74,0.0
1890.74,0.0
1892.74,0.0
1894.74,0.0
1895.74,0.0
1897.74,0.0
1899.74,0.0
1901.74,0.0
1903.74,0.0
1905.74,0.0
1907.74,0.0
1909.74,0.0
1911.74,0.0
1913.74,0.0
1915.74,0.0
1918.74,0.0
1920.74,0.0
1922.74,0.0
1924.74,0.0
1926.74,0.0
1928.74,0.0
1930.74,0.0
1932.74,0.0
1934.74,0.0
1936.74,0.0
1937.74,0.0
1939.74,0.0
1941.74,0.0
1943.74,0.0
1945.74,0.0
1947.74,0.0
1949.74,0.0
1951.74,0.0
1953.74,0.0
1955.74,0.0
1957.74,0.0
1959.74,0.0
1962.74,0.0
1964.74,0.0
1966.74,0.0
1968.74,0.0
1970.74,0.0
1972.74,0.0
1974.74,0.0
1976.74,0.0
1978.74,0.0
1980.74,0.0
1981.74,0.0
1983.74,0.0
1985.74,0.0
1987.74,0.0
1989.74,0.0
1991.74,0.0
1993.74,0.0
1995.74,0.0
1997.74,0.08
1999.74,0.6
2001.74,0.95
2004.74,1.17
2006.74,1.09
2008.74,0.99
2010.74,0.83
2012.74,0.87
2014.74,1.0
2016.74,1.06
2018.74,1.35
2020.74,1.73
2022.74,1.69
2023.74,1.76
2025.74,1.62
2027.74,1.61
2029.74,1.3
2031.74,1.41
2033.74,1.62
2035.74,1.83
2037.74,2.04
2039.74,2.34
2041.74,2.43
2043.74,2.71
2046.74,2.75
2048.74,2.69
2050.74,2.44
2052.74,2.54
2054.74,2.59
2056.74,2.58
2058.74,2.58
2060.74,2.61
2062.74,2.75
2064.74,2.62
2066.74,2.46
2067.74,2.21
2069.74,1.95
2071.74,1.86
2073.74,1.91
2075.74,1.87
2077.74,2.06
2079.74,2.3
2081.74,2.53
2083.74,2.47
2085.74,2.29
2087.74,2.02
2090.74,1.63
2092.74,1.61
2094.74,1.53
2096.74,1.56
2098.74,1.77
2100.74,2.06
2102.74,2.24
2104.74,2.19
2106.74,1.98
2108.74,1.87
2109.74,1.61
2111.74,1.51
2113.74,1.5
2115.74,1.31
2117.74,1.65
2119.74,1.87
2121.74,2.05
2123.74,2.14
2125.74,1.85
2127.74,1.59
2129.74,1.37
2132.74,1.4
2134.74,1.49
2136.74,1.62
2138.74,1.77
2140.74,1.87
2142.74,1.9
2144.74,1.95
2146.74,1.63
2148.74,1.58
2150.74,1.21
2152.74,1.32
2153.74,1.45
2155.74,1.6
2157.74,1.56
2159.74,1.75
2161.74,1.85
2163.74,2.0
2165.74,1.86
2167.74,1.7
2169.74,1.38
2171.74,1.42
2174.74,1.4
2176.74,1.4
2178.74,1.44
2180.74,1.75
2182.74,1.89
2184.74,1.99
2186.74,1.84
2188.74,1.56
2190.74,1.26
2192.74,1.24
2194.74,1.21
2195.74,1.36
2197.74,1.59
2199.74,1.83
2201.74,2.04
2203.74,2.08
2205.74,1.92
2207.74,1.72
2209.74,1.37
2211.74,1.36
2213.74,1.37
2215.74,1.61
2218.74,1.83
2220.74,2.04
2222.74,2.16
2224.74,2.2
2226.74,1.75
2228.74,1.73
2230.74,1.53
2232.74,1.51
2234.74,1.64
2236.74,1.7
2238.74,1.71
2239.74,1.88
2241.74,1.98
2243.74,1.89
2245.74,1.8
2247.74,1.6
2249.74,1.39
2251.74,1.48
2253.74,1.56
2255.74,1.57
2257.74,1.72
2260.74,1.93
2262.74,2.02
2264.74,1.85
2266.74,1.75
2268.74,1.45
2270.74,1.29
2272.74,1.38
2274.74,1.49
2276.74,1.35
2278.74,1.52
2280.74,1.75
2282.74,1.93
2283.74,1.99
2285.74,1.92
2287.74,1.58
2289.74,1.31
2291.74,1.3
2293.74,1.29
2295.74,1.36
2297.74,1.53
2299.74,1.75
2302.74,1.9
2304.74,2.02
2306.74,1.86
2308.74,1.67
2310.74,1.47
2312.74,1.45
2314.74,1.48
2316.74,1.57
2318.74,1.81
2320.74,1.99
2322.74,2.2
2324.74,2.18
2326.74,1.84
2327.74,1.69
2329.74,1.41
2331.74,1.48
2333.74,1.45
2335.74,1.62
2337.74,1.7
2339.74,1.89
2341.74,2.0
2343.74,1.92
2346.74,1.85
2348.74,1.73
2350.74,1.54
2352.74,1.59
2354.74,1.55
2356.74,1.75
2358.74,1.91
2360.74,2.09
2362.74,2.2
2364.74,2.33
2366.74,2.21
2368.74,2.06
2369.74,1.85
2371.74,1.93
2373.74,1.85
2375.74,1.96
2377.74,1.99
2379.74,2.14
2381.74,2.38
2383.74,2.55
2385.74,2.33
2388.74,2.07
2390.74,1.75
2392.74,1.72
2394.74,1.83
2396.74,1.87
2398.74,1.99
2400.74,2.27
2402.74,2.45
2404.74,2.53
2406.74,2.24
2408.74,2.18
2410.74,2.05
2412.74,2.13
2413.74,2.28
2415.74,2.62
2417.74,2.95
2419.74,3.05
2421.74,2.79
2423.74,2.8
2425.74,2.67
2427.74,2.38
2430.74,2.43
2432.74,2.57
2434.74,2.73
2436.74,2.88
2438.74,2.99
2440.74,3.05
2442.74,3.3
2444.74,3.19
2446.74,3.01
2448.74,2.43
2450.74,2.47
2452.74,2.34
2454.74,2.29
2456.74,2.38
2457.74,2.42
2459.74,2.44
2461.74,2.69
2463.74,2.71
2465.74,2.4
2467.74,2.48
2469.74,2.27
2471.74,2.6
2474.74,3.17
2476.74,3.3
2478.74,3.3
2480.74,3.3
2482.74,3.3
2484.74,3.3
2486.74,3.3
2488.74,3.3
2490.74,3.3
2492.74,3.3
2494.74,3.3
2496.74,3.3
2498.74,3.3
2499.74,3.3
2501.74,3.3
2503.74,3.3
2505.74,3.3
2507.74,3.3
2509.74,3.3
2511.74,3.3
2513.74,3.3
2516.74,3.3
2518.74,3.3
2520.74,3.3
2522.74,3.3
2524.74,3.3
2526.74,3.3
2528.74,3.3
2530.74,3.3
2532.74,3.3
2534.74,3.3
2536.74,3.3
2538.74,3.3
2540.74,3.3
2542.74,3.3
2543.74,3.3
2545.74,3.3
2547.74,3.3
2549.74,3.3
2551.74,3.3
2553.74,3.3
2555.74,3.3
2558.74,3.3
2560.74,3.3
2562.74,3.3
2564.74,3.3
2566.74,3.22
2568.74,3.09
2570.74,2.94
2572.74,3.17
2574.74,3.19
2576.74,2.8
2578.74,2.82
2580.74,3.02
2582.74,2.78
2584.74,2.64
2586.74,2.37
2587.74,1.83
2589.74,1.18
2591.74,0.72
2593.74,0.55
2595.74,0.28
2597.74,0.3
2599.74,0.23
2602.74,0.14
2604.74,0.0
2606.74,0.0
2608.74,0.0
2610.74,0.0
2612.74,0.0
2614.74,0.0
2616.74,0.0
2618.74,0.0
2620.74,0.0
2622.74,0.0
2624.74,0.0
2626.74,0.0
2628.74,0.0
2629.74,0.0
2631.74,0.0
2633.74,0.0
2635.74,0.0
2637.74,0.0
2639.74,0.0
2641.74,0.0
2644.74,0.0
2646.74,0.0
2648.74,0.0
2650.74,0.0
2652.74,0.0
2654.74,0.0
2656.74,0.0
2658.74,0.0
2660.74,0.0
2662.74,0.0
2664.74,0.0
2666.74,0.0
2668.74,0.0
2670.74,0.0
2672.74,0.0
2673.74,0.0
2675.74,0.0
2677.74,0.0
2679.74,0.0
2681.74,0.0
2683.74,0.0
2686.74,0.0
2688.74,0.0
2690.74,0.0
2692.74,0.0
2694.74,0.0
2696.74,0.0
2698.74,0.0
2700.74,0.0
2702.74,0.0
2704.74,0.0
2706.74,0.0
2708.74,0.0
2710.74,0.0
2712.74,0.0
2714.74,0.0
2715.74,0.0
2717.74,0.0
2719.74,0.0
2721.74,0.0
2723.74,0.0
2725.74,0.0
2727.74,0.0
2730.74,0.0
2732.74,0.0
2734.74,0.0
2736.74,0.0
2738.74,0.0
2740.74,0.0
2742.74,0.0
2744.74,0.0
2746.74,0.0
2748.74,0.0
2750.74,0.0
2752.74,0.0
2754.74,0.0
2756.74,0.0
2758.74,0.0
2759.74,0.0
2761.74,0.0
2763.74,0.0
2765.74,0.0
2767.74,0.0
2769.74,0.0
2772.74,0.0
2774.74,0.0
2776.74,0.0
2778.74,0.0
2780.74,0.0
2782.74,0.0
2784.74,0.0
2786.74,0.0
2788.74,0.0
2790.74,0.0
2792.74,0.0
2794.74,0.0
2796.74,0.0
2798.74,0.0
2800.74,0.08
2801.74,0.16
2803.74,0.13
2805.74,0.04
2807.74,0.0
2809.74,0.0
2811.74,0.0
2814.74,0.0
2816.74,0.05
2818.74,0.21
2820.74,0.44
2822.74,0.61
2824.74,0.55
2826.74,0.36
2828.74,0.14
2830.74,0.1
2832.74,0.15
2834.74,0.11
2836.74,0.21
2838.74,0.36
2840.74,0.55
2842.74,0.59
2844.74,0.64
2845.74,0.59
2847.74,0.45
2849.74,0.44
2851.74,0.45
2853.74,0.59
2855.74,0.73
2858.74,0.7
2860.74,0.87
2862.74,1.15
2864.74,1.04
2866.74,0.83
2868.74,0.62
2870.74,0.48
2872.74,0.64
2874.74,0.62
2876.74,0.68
2878.74,0.81
2880.74,1.01
2882.74,1.15
2884.74,1.31
2886.74,1.21
2887.74,0.98
2889.74,0.74
2891.74,0.64
2893.74,0.76
2895.74,0.89
2897.74,1.17
2900.74,1.38
2902.74,1.38
2904.74,1.55
2906.74,1.49
2908.74,1.13
2910.74,0.86
2912.74,1.0
2914.74,0.94
2916.74,0.98
2918.74,1.18
2920.74,1.42
2922.74,1.41
2924.74,1.33
2926.74,1.02
2928.74,0.84
2930.74,0.78
2931.74,0.89
2933.74,0.79
2935.74,0.88
2937.74,1.1
2939.74,1.4
2942.74,1.57
2944.74,1.56
2946.74,1.35
2948.74,1.07
2950.74,0.94
2952.74,0.95
2954.74,1.13
2956.74,1.21
2958.74,1.19
2960.74,1.38
2962.74,1.39
2964.74,1.33
2966.74,1.33
2968.74,1.11
2970.74,0.92
2972.74,0.8
2974.74,0.68
2975.74,0.66
2977.74,0.78
2979.74,1.01
2981.74,1.27
2983.74,1.2
2986.74,1.11
2988.74,0.77
2990.74,0.7
2992.74,0.63
2994.74,0.68
2996.74,0.62
2998.74,0.99
3000.74,1.25
3002.74,1.39
3004.74,1.42
3006.74,1.28
3008.74,1.07
3010.74,1.04
3012.74,1.15
3014.74,1.28
3016.74,1.41
3017.74,1.53
3019.74,1.65
3021.74,1.76
3023.74,1.85
3025.74,1.92
3028.74,1.99
3030.74,2.05
3032.74,2.11
3034.74,2.17
3036.74,2.23
3038.74,2.28
3040.74,2.34
3042.74,2.38
3044.74,2.42
3046.74,2.44
3048.74,2.45
3050.74,2.47
3052.74,2.49
3054.74,2.51
3056.74,2.53
3058.74,2.55
3060.74,2.56
3061.74,2.57
3063.74,2.58
3065.74,2.58
3067.74,2.58
3070.74,2.58
3072.74,2.58
