time,ch3
1.0,1.77
3.0,1.95
5.0,1.92
7.0,2.01
9.0,1.98
11.0,2.29
13.0,2.35
15.0,2.25
17.0,2.03
19.0,1.98
21.0,1.93
23.0,1.98
25.0,1.92
28.0,2.24
30.0,2.41
32.0,2.55
34.0,2.65
36.0,2.52
37.0,2.19
39.0,2.03
41.0,1.86
43.0,1.99
45.0,2.13
47.0,2.18
49.0,2.33
51.0,2.54
53.0,2.47
55.0,2.37
57.0,1.95
59.0,1.72
61.0,1.74
63.0,1.78
65.0,2.01
67.0,2.22
70.0,2.52
72.0,2.71
74.0,2.65
76.0,2.26
78.0,1.91
80.0,1.94
81.0,1.89
83.0,1.94
85.0,2.08
87.0,2.17
89.0,2.28
91.0,2.46
93.0,2.42
95.0,2.43
97.0,2.17
99.0,2.09
101.0,2.11
103.0,2.1
105.0,2.16
107.0,2.14
109.0,2.24
111.0,2.33
114.0,2.4
116.0,2.41
118.0,2.05
120.0,1.97
122.0,2.08
123.0,1.98
125.0,1.84
127.0,2.07
129.0,2.26
131.0,2.32
133.0,2.25
135.0,2.19
137.0,1.85
139.0,1.69
141.0,1.52
143.0,1.59
145.0,1.79
147.0,1.89
149.0,2.1
151.0,2.3
153.0,2.26
156.0,2.12
158.0,1.66
160.0,1.5
162.0,1.5
164.0,1.56
166.0,1.73
167.0,1.95
169.0,2.19
171.0,2.35
173.0,2.2
175.0,1.92
177.0,1.64
179.0,1.62
181.0,1.6
183.0,1.56
185.0,1.57
187.0,1.65
189.0,1.8
191.0,1.98
193.0,1.85
195.0,1.87
198.0,1.59
200.0,1.52
202.0,1.54
204.0,1.6
206.0,1.62
208.0,1.66
209.0,1.73
211.0,1.81
213.0,1.93
215.0,1.89
217.0,1.52
219.0,1.32
221.0,1.39
223.0,1.34
225.0,1.26
227.0,1.56
229.0,1.71
231.0,1.81
233.0,1.97
235.0,1.91
237.0,1.52
239.0,1.33
242.0,1.21
244.0,1.3
246.0,1.51
248.0,1.61
250.0,1.89
251.0,2.03
253.0,2.12
255.0,1.92
257.0,1.55
259.0,1.37
261.0,1.31
263.0,1.41
265.0,1.47
267.0,1.63
269.0,1.87
271.0,2.1
273.0,1.86
275.0,1.64
277.0,1.39
279.0,1.3
281.0,1.31
284.0,1.4
286.0,1.53
288.0,1.66
290.0,1.77
292.0,1.91
294.0,1.78
295.0,1.72
297.0,1.45
299.0,1.43
301.0,1.51
303.0,1.61
305.0,1.64
307.0,1.58
309.0,1.55
311.0,1.65
313.0,1.72
315.0,1.71
317.0,1.28
319.0,1.29
321.0,1.46
323.0,1.34
326.0,1.35
328.0,1.52
330.0,1.67
332.0,1.8
334.0,1.81
336.0,1.63
337.0,1.31
339.0,1.2
341.0,1.17
343.0,1.27
345.0,1.33
347.0,1.44
349.0,1.78
351.0,1.96
353.0,1.93
355.0,1.75
357.0,1.35
359.0,1.28
361.0,1.19
363.0,1.39
365.0,1.49
367.0,1.64
370.0,1.78
372.0,1.95
374.0,1.94
376.0,1.52
378.0,1.17
379.0,1.21
381.0,1.06
383.0,1.38
385.0,1.44
387.0,1.58
389.0,1.74
391.0,1.79
393.0,1.73
395.0,1.49
397.0,1.26
399.0,1.27
401.0,1.3
403.0,1.45
405.0,1.46
407.0,1.43
409.0,1.47
412.0,1.53
414.0,1.45
416.0,1.24
418.0,1.11
420.0,1.2
422.0,1.24
423.0,1.38
425.0,1.47
427.0,1.72
429.0,1.82
431.0,1.94
433.0,2.05
435.0,1.97
437.0,1.72
439.0,1.53
441.0,1.43
443.0,1.49
445.0,1.7
447.0,1.78
449.0,1.98
451.0,2.01
454.0,2.05
456.0,1.81
458.0,1.4
460.0,1.33
462.0,1.27
464.0,1.41
465.0,1.44
467.0,1.7
469.0,1.92
471.0,2.05
473.0,1.95
475.0,1.65
477.0,1.39
479.0,1.39
481.0,1.45
483.0,1.38
485.0,1.51
487.0,1.59
489.0,1.69
491.0,1.97
493.0,1.9
495.0,1.76
498.0,1.47
500.0,1.59
502.0,1.55
504.0,1.66
506.0,1.64
507.0,1.75
509.0,1.83
511.0,1.92
513.0,1.92
515.0,1.94
517.0,1.65
519.0,1.65
521.0,1.66
523.0,1.63
525.0,1.55
527.0,1.77
529.0,1.91
531.0,1.97
533.0,1.93
535.0,1.83
537.0,1.67
540.0,1.61
542.0,1.62
544.0,1.64
546.0,1.65
548.0,1.79
550.0,1.96
551.0,2.21
553.0,2.14
555.0,1.91
557.0,1.54
559.0,1.39
561.0,1.41
563.0,1.48
565.0,1.59
567.0,1.75
569.0,2.05
571.0,2.3
573.0,2.17
575.0,1.85
577.0,1.6
579.0,1.48
582.0,1.5
584.0,1.5
586.0,1.67
588.0,1.81
590.0,1.93
592.0,1.93
593.0,1.85
595.0,1.78
597.0,1.44
599.0,1.25
601.0,1.53
603.0,1.52
605.0,1.66
607.0,1.64
609.0,1.7
611.0,1.73
613.0,1.66
615.0,1.68
617.0,1.39
619.0,1.32
621.0,1.33
623.0,1.27
626.0,1.28
628.0,1.5
630.0,1.62
632.0,1.7
634.0,1.47
635.0,1.23
637.0,0.91
639.0,0.69
641.0,0.77
643.0,0.81
645.0,1.08
647.0,1.15
649.0,1.48
651.0,1.62
653.0,1.59
655.0,1.33
657.0,1.15
659.0,1.09
661.0,1.0
663.0,1.1
665.0,1.31
668.0,1.44
670.0,1.72
672.0,1.8
674.0,1.63
676.0,1.35
678.0,1.09
679.0,1.02
681.0,0.91
683.0,1.04
685.0,1.26
687.0,1.42
689.0,1.47
691.0,1.61
693.0,1.39
695.0,1.32
697.0,1.16
699.0,1.24
701.0,1.17
703.0,1.37
705.0,1.37
707.0,1.5
710.0,1.64
712.0,1.82
714.0,1.72
716.0,1.57
718.0,1.25
720.0,1.2
721.0,1.2
723.0,1.26
725.0,1.36
727.0,1.55
729.0,1.59
731.0,1.8
733.0,1.72
735.0,1.48
737.0,1.27
739.0,1.12
741.0,0.98
743.0,1.2
745.0,1.35
747.0,1.53
749.0,1.85
751.0,1.95
754.0,1.87
756.0,1.65
758.0,1.38
760.0,1.31
762.0,1.28
763.0,1.26
765.0,1.44
767.0,1.62
769.0,1.87
771.0,1.98
773.0,1.75
775.0,1.58
777.0,1.33
779.0,1.43
781.0,1.28
783.0,1.25
785.0,1.45
787.0,1.64
789.0,1.67
791.0,1.77
793.0,1.79
796.0,1.54
798.0,1.31
800.0,1.32
802.0,1.47
804.0,1.5
806.0,1.65
807.0,1.68
809.0,1.76
811.0,1.71
813.0,1.73
815.0,1.54
817.0,1.36
819.0,1.25
821.0,1.27
823.0,1.2
825.0,1.3
827.0,1.29
829.0,1.53
831.0,1.62
833.0,1.54
835.0,1.5
838.0,1.15
840.0,0.91
842.0,0.97
844.0,1.21
846.0,1.34
848.0,1.48
849.0,1.72
851.0,1.86
853.0,1.77
855.0,1.48
857.0,1.11
859.0,1.09
861.0,1.17
863.0,1.3
865.0,1.35
867.0,1.52
869.0,1.74
871.0,1.88
873.0,1.75
875.0,1.36
877.0,1.09
879.0,1.08
882.0,0.94
884.0,1.26
886.0,1.49
888.0,1.55
890.0,1.65
891.0,1.67
893.0,1.67
895.0,1.58
897.0,1.21
899.0,1.31
901.0,1.35
903.0,1.52
905.0,1.59
907.0,1.61
909.0,1.77
911.0,1.86
913.0,1.79
915.0,1.52
917.0,1.28
919.0,1.19
921.0,1.23
924.0,1.16
926.0,1.18
928.0,1.48
930.0,1.64
932.0,1.8
934.0,1.76
935.0,1.4
937.0,1.11
939.0,0.98
941.0,0.98
943.0,1.18
945.0,1.33
947.0,1.42
949.0,1.68
951.0,1.79
953.0,1.7
955.0,1.41
957.0,1.11
959.0,1.05
961.0,1.12
963.0,1.18
966.0,1.4
968.0,1.44
970.0,1.7
972.0,1.62
974.0,1.51
976.0,1.32
977.0,1.16
979.0,1.14
981.0,1.2
983.0,1.46
985.0,1.69
987.0,1.62
989.0,1.7
991.0,1.76
993.0,1.73
995.0,1.54
997.0,1.36
999.0,1.38
1001.0,1.41
1003.0,1.46
1005.0,1.54
1007.0,1.5
1010.0,1.73
1012.0,1.8
1014.0,1.72
1016.0,1.55
1018.0,1.35
1020.0,1.33
1021.0,1.37
1023.0,1.29
1025.0,1.47
1027.0,1.62
1029.0,1.57
1031.0,1.83
1033.0,1.66
1035.0,1.24
1037.0,1.1
1039.0,0.93
1041.0,1.0
1043.0,1.12
1045.0,1.16
1047.0,1.32
1049.0,1.55
1052.0,1.6
1054.0,1.53
1056.0,1.3
1058.0,0.99
1060.0,0.92
1062.0,1.02
1063.0,1.13
1065.0,1.22
1067.0,1.47
1069.0,1.74
1071.0,1.69
1073.0,1.48
1075.0,1.19
1077.0,1.0
1079.0,0.89
1081.0,0.95
1083.0,1.07
1085.0,1.25
1087.0,1.43
1089.0,1.54
1091.0,1.57
1094.0,1.49
1096.0,1.3
1098.0,1.1
1100.0,1.33
1102.0,1.36
1104.0,1.45
1106.0,1.53
1107.0,1.5
1109.0,1.62
1111.0,1.79
1113.0,1.64
1115.0,1.46
1117.0,1.29
1119.0,1.23
1121.0,1.34
1123.0,1.33
1125.0,1.35
1127.0,1.35
1129.0,1.55
1131.0,1.62
1133.0,1.45
1135.0,1.21
1138.0,1.28
1140.0,1.12
1142.0,1.1
1144.0,1.06
1146.0,1.44
1148.0,1.67
1149.0,1.79
1151.0,1.87
1153.0,1.79
1155.0,1.54
1157.0,1.19
1159.0,1.05
1161.0,0.98
1163.0,0.92
1165.0,0.72
1167.0,0.68
1169.0,0.98
1171.0,1.13
1173.0,1.2
1175.0,0.66
1177.0,0.69
1180.0,0.51
1182.0,0.54
1184.0,0.56
1186.0,0.69
1188.0,1.09
1190.0,1.45
1192.0,1.45
1193.0,1.29
1195.0,0.95
1197.0,1.07
1199.0,1.23
1201.0,1.41
1203.0,1.3
1205.0,1.42
1207.0,1.41
1209.0,1.33
1211.0,1.56
1213.0,1.15
1215.0,0.82
1217.0,0.51
1219.0,1.14
1222.0,1.0
1224.0,0.85
1226.0,0.75
1228.0,1.0
1230.0,1.11
1232.0,0.98
1234.0,0.72
1235.0,0.5
1237.0,0.43
1239.0,0.65
1241.0,0.8
1243.0,0.68
1245.0,0.43
1247.0,0.55
1249.0,0.38
1251.0,0.65
1253.0,0.36
1255.0,0.0
1257.0,0.0
1259.0,0.0
1261.0,0.0
1263.0,0.0
1266.0,0.0
1268.0,0.0
1270.0,0.0
1272.0,0.0
1274.0,0.0
1276.0,0.0
1278.0,0.0
1279.0,0.0
1281.0,0.0
1283.0,0.0
1285.0,0.0
1287.0,0.0
1289.0,0.0
1291.0,0.0
1293.0,0.0
1295.0,0.0
1297.0,0.01
1299.0,0.17
1301.0,0.54
1303.0,0.82
1305.0,1.16
1308.0,1.09
1310.0,1.4
1312.0,3.3
1314.0,3.3
1316.0,3.3
1318.0,3.3
1320.0,3.3
1321.0,3.3
1323.0,3.3
1325.0,3.3
1327.0,3.3
1329.0,3.3
1331.0,3.3
1333.0,3.3
1335.0,3.3
1337.0,3.3
1339.0,3.3
1341.0,3.3
1343.0,3.3
1345.0,3.3
1347.0,3.3
1350.0,3.3
1352.0,3.3
1354.0,3.3
1356.0,3.3
1358.0,3.3
1360.0,3.3
1362.0,3.3
1364.0,3.3
1365.0,3.3
1367.0,3.3
1369.0,3.3
1371.0,3.3
1373.0,3.3
1375.0,3.18
1377.0,3.17
1379.0,3.09
1381.0,2.57
1383.0,3.3
1385.0,3.3
1387.0,3.3
1389.0,3.3
1391.0,3.3
1394.0,3.3
1396.0,3.3
1398.0,3.3
1400.0,3.3
1402.0,3.3
1404.0,3.3
1406.0,3.3
1407.0,3.3
1409.0,3.3
1411.0,3.3
1413.0,3.3
1415.0,3.3
1417.0,3.3
1419.0,3.3
1421.0,3.3
1423.0,3.3
1425.0,3.3
1427.0,3.3
1429.0,3.25
1431.0,3.3
1433.0,3.18
1436.0,2.95
