time,ch1
0.0,1.75
1.0,1.73
3.0,0.44
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.02
13.0,0.09
15.0,0.37
17.0,0.64
19.0,0.87
21.0,0.99
23.0,1.13
25.0,1.11
27.0,0.85
29.0,0.82
31.0,0.9
33.0,0.93
35.0,1.31
37.0,1.44
39.0,1.38
41.0,1.29
44.0,1.17
46.0,1.15
47.0,1.23
49.0,1.25
51.0,1.21
53.0,1.31
55.0,1.58
57.0,1.6
59.0,1.52
61.0,1.36
63.0,1.29
65.0,1.22
67.0,1.07
69.0,1.01
71.0,1.3
73.0,1.53
75.0,1.75
77.0,1.81
79.0,1.93
81.0,2.01
83.0,1.92
86.0,1.39
88.0,1.31
90.0,1.21
92.0,1.31
94.0,1.53
95.0,1.72
97.0,1.8
99.0,1.63
101.0,1.49
103.0,1.41
105.0,1.27
107.0,1.19
109.0,1.32
111.0,1.67
113.0,1.78
115.0,2.05
117.0,2.19
119.0,2.17
121.0,2.26
123.0,2.2
125.0,1.97
128.0,1.64
130.0,1.6
132.0,1.77
134.0,2.1
136.0,2.44
138.0,2.54
139.0,2.46
141.0,2.47
143.0,2.38
145.0,2.22
147.0,2.24
149.0,2.09
151.0,2.11
153.0,2.25
155.0,2.4
157.0,2.36
159.0,2.13
161.0,1.97
163.0,1.71
165.0,1.32
167.0,1.14
169.0,1.11
172.0,1.25
174.0,1.35
176.0,1.46
178.0,1.71
180.0,1.74
181.0,1.76
183.0,1.74
185.0,1.65
187.0,1.48
189.0,1.44
191.0,1.61
193.0,1.67
195.0,1.82
197.0,1.84
199.0,1.78
201.0,1.76
203.0,1.7
205.0,1.69
207.0,1.58
209.0,1.56
211.0,1.68
214.0,1.88
216.0,2.01
218.0,2.01
220.0,1.94
222.0,1.92
224.0,1.87
225.0,1.74
227.0,1.7
229.0,1.68
231.0,1.8
233.0,2.12
235.0,2.42
237.0,2.42
239.0,2.45
241.0,2.5
243.0,2.43
245.0,2.32
247.0,2.01
249.0,1.88
251.0,1.96
253.0,2.05
256.0,2.16
258.0,2.11
260.0,2.04
262.0,1.97
264.0,1.79
266.0,1.62
267.0,1.4
269.0,1.55
271.0,1.81
273.0,2.03
275.0,2.29
277.0,2.3
279.0,2.23
281.0,2.17
283.0,2.13
285.0,2.0
287.0,1.76
289.0,1.76
291.0,1.96
293.0,2.15
295.0,2.4
297.0,2.4
300.0,2.26
302.0,2.21
304.0,2.03
306.0,1.9
308.0,1.73
310.0,1.7
311.0,1.85
313.0,1.95
315.0,1.92
317.0,1.9
319.0,2.0
321.0,2.06
323.0,1.91
325.0,1.81
327.0,1.68
329.0,1.56
331.0,1.74
333.0,1.83
335.0,1.99
337.0,2.09
339.0,2.15
342.0,2.11
344.0,1.95
346.0,1.71
348.0,1.41
350.0,1.35
352.0,1.5
353.0,1.77
355.0,1.93
357.0,1.89
359.0,1.91
361.0,1.89
363.0,1.69
365.0,1.55
367.0,1.35
369.0,1.34
371.0,1.46
373.0,1.58
375.0,1.82
377.0,1.83
379.0,1.72
381.0,1.75
384.0,1.68
386.0,1.58
388.0,1.49
390.0,1.3
392.0,1.41
394.0,1.46
395.0,1.58
397.0,1.65
399.0,1.57
401.0,1.6
403.0,1.51
405.0,1.34
407.0,1.23
409.0,1.13
411.0,1.3
413.0,1.56
415.0,1.53
417.0,1.47
419.0,1.48
421.0,1.58
423.0,1.43
425.0,1.32
428.0,1.14
430.0,1.12
432.0,1.27
434.0,1.35
436.0,1.44
438.0,1.51
439.0,1.57
441.0,1.65
443.0,1.51
445.0,1.39
447.0,1.18
449.0,1.15
451.0,1.27
453.0,1.39
455.0,1.56
457.0,1.61
459.0,1.54
461.0,1.65
463.0,1.46
465.0,1.32
467.0,1.04
470.0,0.99
472.0,1.19
474.0,1.36
476.0,1.6
478.0,1.55
480.0,1.65
481.0,1.66
483.0,1.59
485.0,1.39
487.0,1.24
489.0,1.19
491.0,1.42
493.0,1.72
495.0,1.98
497.0,2.07
499.0,1.94
501.0,1.93
503.0,1.85
505.0,1.76
507.0,1.51
509.0,1.52
512.0,1.66
514.0,1.79
516.0,1.87
518.0,1.82
520.0,1.74
522.0,1.65
523.0,1.53
525.0,1.42
527.0,1.41
529.0,1.34
531.0,1.5
533.0,1.69
535.0,1.72
537.0,1.66
539.0,1.53
541.0,1.2
543.0,0.98
545.0,0.82
547.0,0.49
549.0,0.5
551.0,0.67
553.0,0.86
556.0,1.13
558.0,1.05
560.0,1.12
562.0,1.11
564.0,0.93
566.0,0.83
567.0,0.6
569.0,0.81
571.0,1.15
573.0,1.26
575.0,1.42
577.0,1.48
579.0,1.51
581.0,1.44
583.0,1.39
585.0,1.32
587.0,1.11
589.0,1.07
591.0,1.23
593.0,1.26
595.0,1.42
598.0,1.41
600.0,1.3
602.0,1.23
604.0,0.91
606.0,0.79
608.0,0.66
609.0,0.79
611.0,0.99
613.0,1.22
615.0,1.34
617.0,1.34
619.0,1.35
621.0,1.35
623.0,1.09
625.0,0.96
627.0,0.62
629.0,0.55
631.0,0.66
633.0,0.94
635.0,1.17
637.0,1.15
640.0,1.27
642.0,1.28
644.0,1.06
646.0,1.04
648.0,0.88
650.0,0.91
652.0,1.1
653.0,1.26
655.0,1.55
657.0,1.54
659.0,1.62
661.0,1.64
663.0,1.56
665.0,1.51
667.0,1.33
669.0,1.41
671.0,1.81
673.0,2.03
675.0,2.27
677.0,2.34
679.0,2.32
681.0,2.27
684.0,2.19
686.0,2.06
688.0,1.88
690.0,1.8
692.0,1.94
694.0,1.97
695.0,2.13
697.0,2.21
699.0,2.22
701.0,2.45
703.0,2.46
705.0,2.35
