time,ch2
1.0,2.22
3.0,2.23
5.0,2.15
7.0,2.16
9.0,1.99
11.0,2.12
13.0,2.04
15.0,2.23
17.0,2.01
19.0,1.85
21.0,1.84
23.0,1.92
25.0,1.95
27.0,2.02
29.0,1.89
31.0,1.76
33.0,1.51
35.0,1.49
37.0,1.32
39.0,1.09
41.0,1.08
44.0,1.11
46.0,1.25
48.0,1.21
49.0,1.18
51.0,1.16
53.0,1.12
55.0,0.96
57.0,0.94
59.0,0.77
61.0,0.65
63.0,0.61
65.0,0.76
67.0,0.83
69.0,0.78
71.0,0.75
73.0,0.94
75.0,0.95
77.0,0.98
79.0,0.62
81.0,0.6
83.0,0.68
86.0,0.97
88.0,1.04
90.0,1.15
92.0,1.27
94.0,1.45
96.0,1.37
97.0,1.22
99.0,1.15
101.0,0.94
103.0,1.19
105.0,1.43
107.0,1.25
109.0,1.48
111.0,1.36
113.0,1.29
115.0,1.3
117.0,1.24
119.0,1.02
121.0,1.38
123.0,1.41
125.0,1.55
128.0,1.53
130.0,1.36
132.0,1.27
134.0,1.31
136.0,1.5
138.0,1.65
139.0,1.56
141.0,1.35
143.0,1.31
145.0,1.43
147.0,1.37
149.0,1.34
151.0,1.53
153.0,1.59
155.0,1.65
157.0,1.51
159.0,1.72
161.0,1.52
163.0,1.56
165.0,1.76
167.0,1.9
169.0,1.67
172.0,1.83
174.0,1.72
176.0,1.75
178.0,1.48
180.0,1.47
182.0,1.35
183.0,1.56
185.0,1.81
187.0,1.93
189.0,1.76
191.0,1.83
193.0,1.61
195.0,1.77
197.0,1.56
199.0,1.5
201.0,1.55
203.0,1.75
205.0,1.75
207.0,1.62
209.0,1.48
211.0,1.38
214.0,1.25
216.0,1.45
218.0,1.25
220.0,1.21
222.0,1.53
224.0,1.42
225.0,1.49
227.0,1.41
229.0,1.32
231.0,1.35
233.0,1.18
235.0,1.36
237.0,1.38
239.0,1.2
241.0,1.27
243.0,1.37
245.0,1.53
247.0,1.46
249.0,1.43
251.0,1.39
253.0,1.65
256.0,1.56
258.0,1.49
260.0,1.33
262.0,0.99
264.0,1.13
266.0,1.32
268.0,1.22
269.0,1.13
271.0,1.15
273.0,1.31
275.0,1.19
277.0,1.22
279.0,1.02
281.0,1.17
283.0,1.21
285.0,1.51
287.0,1.47
289.0,1.63
291.0,1.62
293.0,1.59
295.0,1.57
297.0,1.43
300.0,1.41
302.0,1.61
304.0,1.63
306.0,1.66
308.0,1.75
310.0,1.57
311.0,1.53
313.0,1.56
315.0,1.67
317.0,1.61
319.0,1.63
321.0,1.59
323.0,1.34
325.0,1.67
327.0,1.76
329.0,1.55
331.0,1.75
333.0,1.76
335.0,1.93
337.0,1.82
339.0,1.96
342.0,1.78
344.0,1.97
346.0,1.99
348.0,1.97
350.0,1.98
352.0,2.07
353.0,2.12
355.0,2.18
357.0,1.9
359.0,1.95
361.0,1.95
363.0,1.77
365.0,1.94
367.0,1.84
369.0,1.74
371.0,1.94
373.0,1.87
375.0,1.81
377.0,1.55
379.0,1.52
381.0,1.43
384.0,1.79
386.0,1.86
388.0,1.93
390.0,1.89
392.0,1.63
394.0,1.66
396.0,1.65
397.0,1.28
399.0,1.39
401.0,1.53
403.0,1.7
405.0,1.74
407.0,1.55
409.0,1.35
411.0,1.57
413.0,1.43
415.0,1.55
417.0,1.61
419.0,1.55
421.0,1.58
423.0,1.53
425.0,1.66
428.0,1.67
430.0,1.62
432.0,1.55
434.0,1.66
436.0,1.69
438.0,1.75
439.0,1.56
441.0,1.53
443.0,1.47
445.0,1.58
447.0,1.55
449.0,1.53
451.0,1.46
453.0,1.66
455.0,1.74
457.0,1.63
459.0,1.35
461.0,1.56
463.0,1.41
465.0,1.54
467.0,1.44
470.0,1.64
472.0,1.6
474.0,1.51
476.0,1.46
478.0,1.3
480.0,1.2
481.0,1.21
483.0,1.23
485.0,1.55
487.0,1.75
489.0,1.46
491.0,1.49
493.0,1.5
495.0,1.37
497.0,1.27
499.0,1.33
501.0,1.16
503.0,1.5
505.0,1.52
507.0,1.45
509.0,1.41
512.0,1.37
514.0,1.2
516.0,1.35
518.0,1.32
520.0,1.05
522.0,1.23
524.0,1.17
525.0,1.27
527.0,1.21
529.0,1.31
531.0,1.35
533.0,1.32
535.0,1.38
537.0,1.17
539.0,1.38
541.0,1.28
543.0,1.39
545.0,1.37
547.0,1.39
549.0,1.2
551.0,1.3
553.0,1.35
556.0,1.64
558.0,1.73
560.0,1.52
562.0,1.65
564.0,1.72
566.0,1.92
567.0,2.02
569.0,2.01
571.0,1.95
573.0,1.92
575.0,1.85
577.0,1.67
579.0,1.46
581.0,1.65
583.0,1.74
585.0,1.84
587.0,1.81
589.0,1.82
591.0,1.77
593.0,1.64
595.0,1.65
598.0,1.42
600.0,1.34
602.0,1.49
604.0,1.58
606.0,1.59
608.0,1.59
609.0,1.6
611.0,1.42
613.0,1.49
615.0,1.49
617.0,1.26
619.0,1.32
621.0,1.35
623.0,1.37
625.0,1.48
627.0,1.4
629.0,1.35
631.0,1.37
633.0,1.36
635.0,1.4
637.0,1.38
640.0,1.23
642.0,1.25
644.0,1.33
646.0,1.38
648.0,1.45
650.0,1.44
652.0,1.42
653.0,1.42
655.0,1.39
657.0,1.34
659.0,1.34
661.0,1.23
663.0,1.29
665.0,1.35
667.0,1.37
669.0,1.4
671.0,1.35
673.0,1.3
675.0,1.29
677.0,1.26
679.0,1.21
681.0,1.28
684.0,1.28
686.0,1.32
688.0,1.43
690.0,1.41
692.0,1.31
694.0,1.42
695.0,1.33
697.0,1.28
699.0,1.25
701.0,1.28
703.0,1.4
705.0,1.39
707.0,1.37
709.0,1.42
711.0,1.41
713.0,1.41
715.0,1.43
717.0,1.43
719.0,1.49
721.0,1.46
723.0,1.45
726.0,1.4
728.0,1.48
730.0,1.39
732.0,1.36
734.0,1.46
736.0,1.59
737.0,1.63
739.0,1.65
741.0,1.5
743.0,1.41
745.0,1.37
747.0,1.39
749.0,1.32
751.0,1.35
753.0,1.42
755.0,1.4
757.0,1.4
759.0,1.4
761.0,1.35
763.0,1.29
765.0,1.33
768.0,1.44
770.0,1.39
772.0,1.45
