time,ch1
1.0,1.37
3.0,1.39
5.0,1.43
7.0,1.39
9.0,1.51
11.0,1.63
13.0,1.59
15.0,1.54
17.0,1.44
19.0,1.42
21.0,1.4
23.0,1.4
25.0,1.41
27.0,1.36
29.0,1.4
31.0,1.5
33.0,1.54
35.0,1.44
37.0,1.23
39.0,1.25
41.0,1.27
44.0,1.26
46.0,1.3
48.0,1.28
49.0,1.42
51.0,1.52
53.0,1.53
55.0,1.48
57.0,1.37
59.0,1.39
61.0,1.4
63.0,1.39
65.0,1.39
67.0,1.38
69.0,1.52
71.0,1.63
73.0,1.64
75.0,1.55
77.0,1.44
79.0,1.47
81.0,1.46
83.0,1.48
86.0,1.52
88.0,1.52
90.0,1.61
92.0,1.64
94.0,1.6
96.0,1.54
97.0,1.43
99.0,1.45
101.0,1.43
103.0,1.43
105.0,1.44
107.0,1.4
109.0,1.52
111.0,1.55
113.0,1.53
115.0,1.45
117.0,1.35
119.0,1.37
121.0,1.41
123.0,1.43
125.0,1.44
128.0,1.41
130.0,1.54
132.0,1.61
134.0,1.62
136.0,1.56
138.0,1.45
139.0,1.48
141.0,1.52
143.0,1.52
145.0,1.53
147.0,1.53
149.0,1.6
151.0,1.69
153.0,1.66
155.0,1.59
157.0,1.44
159.0,1.46
161.0,1.46
163.0,1.48
165.0,1.46
167.0,1.45
169.0,1.54
172.0,1.64
174.0,1.65
176.0,1.62
178.0,1.49
180.0,1.52
182.0,1.53
183.0,1.55
185.0,1.55
187.0,1.53
189.0,1.63
191.0,1.7
193.0,1.66
195.0,1.6
197.0,1.48
199.0,1.5
201.0,1.52
203.0,1.54
205.0,1.51
207.0,1.5
209.0,1.61
211.0,1.65
214.0,1.65
216.0,1.58
218.0,1.41
220.0,1.38
222.0,1.37
224.0,1.37
225.0,1.35
227.0,1.32
229.0,1.42
231.0,1.48
233.0,1.48
235.0,1.41
237.0,1.31
239.0,1.33
241.0,1.31
243.0,1.3
245.0,1.32
247.0,1.33
249.0,1.43
251.0,1.53
253.0,1.56
256.0,1.48
258.0,1.37
260.0,1.37
262.0,1.36
264.0,1.36
266.0,1.38
268.0,1.36
269.0,1.48
271.0,1.52
273.0,1.51
275.0,1.48
277.0,1.4
279.0,1.43
281.0,1.44
283.0,1.45
285.0,1.45
287.0,1.46
289.0,1.57
291.0,1.6
293.0,1.6
295.0,1.53
297.0,1.39
300.0,1.44
302.0,1.44
304.0,1.47
306.0,1.46
308.0,1.46
310.0,1.56
311.0,1.61
313.0,1.59
315.0,1.55
317.0,1.4
319.0,1.43
321.0,1.45
323.0,1.46
325.0,1.47
327.0,1.49
329.0,1.57
331.0,1.63
333.0,1.61
335.0,1.54
337.0,1.41
339.0,1.41
342.0,1.4
344.0,1.42
346.0,1.44
348.0,1.45
350.0,1.55
352.0,1.59
353.0,1.57
355.0,1.55
357.0,1.39
359.0,1.43
361.0,1.42
363.0,1.39
365.0,1.38
367.0,1.39
369.0,1.56
371.0,1.61
373.0,1.52
375.0,1.31
377.0,1.13
379.0,1.1
381.0,1.08
384.0,1.1
386.0,1.14
388.0,1.17
390.0,1.3
392.0,1.34
394.0,1.35
396.0,1.3
397.0,1.21
399.0,1.23
401.0,1.26
403.0,1.3
405.0,1.31
407.0,1.35
409.0,1.47
411.0,1.52
413.0,1.54
415.0,1.45
417.0,1.29
419.0,1.28
421.0,1.33
423.0,1.35
425.0,1.36
428.0,1.38
