time,ch1
799.0,1.38
801.0,1.55
803.0,1.72
805.0,1.57
807.0,1.24
809.0,1.24
812.0,1.66
814.0,1.96
816.0,1.51
818.0,1.36
820.0,1.2
822.0,1.58
823.0,1.79
825.0,1.68
827.0,1.33
829.0,1.87
831.0,2.15
833.0,2.0
835.0,1.57
837.0,1.71
839.0,1.7
841.0,1.52
843.0,2.07
845.0,2.24
847.0,2.14
849.0,2.31
851.0,2.08
854.0,2.03
856.0,1.82
858.0,1.44
860.0,1.29
862.0,1.55
864.0,1.76
865.0,1.75
867.0,1.96
869.0,1.58
871.0,1.51
873.0,1.34
875.0,1.0
877.0,0.87
879.0,0.8
881.0,0.84
883.0,1.4
885.0,1.85
887.0,1.64
889.0,1.3
891.0,1.16
893.0,1.26
896.0,0.98
898.0,0.78
900.0,1.15
902.0,1.07
904.0,1.65
906.0,2.03
907.0,1.49
909.0,1.21
911.0,1.26
913.0,1.25
915.0,1.32
917.0,0.95
919.0,1.0
921.0,1.35
923.0,1.93
925.0,1.62
927.0,1.09
929.0,1.24
931.0,1.39
933.0,1.27
935.0,1.19
937.0,1.22
940.0,1.14
942.0,1.91
944.0,2.0
946.0,1.89
948.0,1.38
950.0,1.17
951.0,1.54
953.0,1.67
955.0,1.43
957.0,1.06
959.0,1.51
961.0,1.95
963.0,1.71
965.0,1.5
967.0,1.48
969.0,1.57
971.0,1.46
973.0,1.39
975.0,1.24
977.0,1.04
979.0,1.56
982.0,1.88
984.0,1.71
986.0,1.63
988.0,1.58
990.0,1.42
992.0,1.32
993.0,1.56
995.0,1.38
997.0,1.32
999.0,1.15
1001.0,1.91
1003.0,2.11
1005.0,1.89
1007.0,1.41
1009.0,1.19
1011.0,1.31
1013.0,1.49
1015.0,1.32
1017.0,1.16
1019.0,0.86
1021.0,1.53
1024.0,1.95
1026.0,1.46
1028.0,1.22
1030.0,1.21
1032.0,1.27
1034.0,1.38
1036.0,1.19
1037.0,1.08
1039.0,1.11
1041.0,1.36
1043.0,2.01
1045.0,1.83
1047.0,1.51
1049.0,1.37
1051.0,1.45
1053.0,1.31
1055.0,1.41
1057.0,1.06
1059.0,1.24
1061.0,1.44
1063.0,1.96
1065.0,2.15
1068.0,1.77
1070.0,1.49
1072.0,1.7
1074.0,1.8
1076.0,1.44
1078.0,1.21
1079.0,1.38
1081.0,1.44
1083.0,1.69
1085.0,1.47
1087.0,1.83
1089.0,2.1
1091.0,1.86
1093.0,1.7
1095.0,1.42
1097.0,1.5
1099.0,1.52
1101.0,1.74
1103.0,1.76
1105.0,1.84
1107.0,1.86
1110.0,1.65
1112.0,1.75
1114.0,2.13
1116.0,1.94
1118.0,1.62
1120.0,1.44
1121.0,1.54
1123.0,1.65
1125.0,1.69
1127.0,1.6
1129.0,1.5
1131.0,1.44
1133.0,1.78
1135.0,2.0
1137.0,2.05
1139.0,1.71
1141.0,1.67
1143.0,1.82
1145.0,1.91
1147.0,1.62
1149.0,1.56
1152.0,1.53
1154.0,1.83
1156.0,1.76
1158.0,1.57
1160.0,1.65
1162.0,1.75
1164.0,1.86
1165.0,1.83
1167.0,1.25
1169.0,1.57
1171.0,1.61
1173.0,1.75
1175.0,1.38
1177.0,1.26
1179.0,1.3
1181.0,1.57
1183.0,1.77
1185.0,1.83
1187.0,1.77
1189.0,1.75
1191.0,1.58
1193.0,1.79
1196.0,1.5
1198.0,1.44
1200.0,1.6
1202.0,1.54
1204.0,1.68
1206.0,1.75
1207.0,1.51
1209.0,1.53
1211.0,1.54
1213.0,1.67
1215.0,1.34
1217.0,1.45
1219.0,1.49
1221.0,1.5
1223.0,1.59
1225.0,1.56
1227.0,1.42
1229.0,1.44
1231.0,1.54
1233.0,1.68
1235.0,1.35
1238.0,1.43
1240.0,1.29
1242.0,1.57
1244.0,1.85
1246.0,1.78
1248.0,1.46
1250.0,1.47
1251.0,1.49
1253.0,1.71
1255.0,1.55
1257.0,1.23
1259.0,1.24
1261.0,1.38
1263.0,1.62
1265.0,1.53
1267.0,1.41
1269.0,1.23
1271.0,1.55
1273.0,1.69
1275.0,1.56
1277.0,1.41
1280.0,1.33
1282.0,1.3
1284.0,1.55
1286.0,1.65
1288.0,1.75
1290.0,1.47
1292.0,1.12
1293.0,1.24
1295.0,1.07
1297.0,1.13
1299.0,1.21
1301.0,1.31
1303.0,1.38
1305.0,1.22
1307.0,1.02
1309.0,0.98
1311.0,1.01
1313.0,1.36
1315.0,1.09
1317.0,1.02
1319.0,1.11
1321.0,1.51
1324.0,1.61
1326.0,1.39
1328.0,1.13
1330.0,1.08
1332.0,1.25
1334.0,1.6
1336.0,1.55
1337.0,1.44
1339.0,0.77
1341.0,1.15
1343.0,1.55
1345.0,1.43
1347.0,1.43
1349.0,1.37
1351.0,1.11
1353.0,1.57
1355.0,1.57
1357.0,1.09
1359.0,1.2
1361.0,1.4
1363.0,1.67
1366.0,1.84
1368.0,1.67
1370.0,1.6
1372.0,1.63
1374.0,1.64
1376.0,1.41
1378.0,1.28
1379.0,1.34
1381.0,1.48
1383.0,1.59
1385.0,1.64
1387.0,1.65
1389.0,1.51
1391.0,1.43
1393.0,1.53
1395.0,1.31
1397.0,1.35
1399.0,1.43
1401.0,1.41
1403.0,1.47
1405.0,1.31
1408.0,1.28
1410.0,1.34
1412.0,1.45
1414.0,1.62
1416.0,1.31
1418.0,1.06
1420.0,1.32
1422.0,1.61
1423.0,1.68
1425.0,1.45
1427.0,1.31
1429.0,1.32
1431.0,1.64
1433.0,1.69
1435.0,1.46
1437.0,1.22
1439.0,1.15
1441.0,1.27
1443.0,1.62
1445.0,1.52
1447.0,1.46
1449.0,1.27
1452.0,1.35
1454.0,1.61
1456.0,1.63
1458.0,1.22
1460.0,1.09
1462.0,1.31
1464.0,1.5
1465.0,1.4
1467.0,1.38
1469.0,1.15
1471.0,1.28
1473.0,1.26
1475.0,0.99
1477.0,1.09
1479.0,1.14
1481.0,1.09
1483.0,1.43
1485.0,1.36
1487.0,1.29
1489.0,1.28
1491.0,1.36
1494.0,1.45
1496.0,1.1
1498.0,1.25
1500.0,1.06
1502.0,1.26
1504.0,1.64
1506.0,1.57
1508.0,1.21
1509.0,1.39
1511.0,1.49
1513.0,1.56
1515.0,1.4
1517.0,1.12
1519.0,0.0
1521.0,0.0
1523.0,0.0
1525.0,0.0
1527.0,0.0
1529.0,0.0
1531.0,0.0
1533.0,0.0
1536.0,0.0
1538.0,0.0
1540.0,0.0
1542.0,0.0
1544.0,0.0
1546.0,0.0
1548.0,0.0
1550.0,0.0
1551.0,0.01
1553.0,0.46
1555.0,0.24
1557.0,0.17
1559.0,0.34
1561.0,0.61
1563.0,1.11
1565.0,1.17
1567.0,0.96
1569.0,0.99
1571.0,1.14
1573.0,1.34
1575.0,1.12
1577.0,1.19
1580.0,1.32
1582.0,1.52
1584.0,1.68
1586.0,1.5
1588.0,1.71
1590.0,1.55
1592.0,1.59
1594.0,1.61
1595.0,1.33
1597.0,1.31
1599.0,1.4
1601.0,1.7
1603.0,1.92
1605.0,1.67
1607.0,1.45
1609.0,1.49
1611.0,1.76
1613.0,1.84
1615.0,1.71
1617.0,1.56
1619.0,1.75
1622.0,1.82
1624.0,2.05
1626.0,1.83
1628.0,1.58
1630.0,1.59
1632.0,2.03
1634.0,2.11
1636.0,1.86
1638.0,1.88
1639.0,2.03
1641.0,2.14
1643.0,2.33
1645.0,2.22
1647.0,1.75
1649.0,1.97
1651.0,2.09
1653.0,2.25
1655.0,2.08
1657.0,1.95
1659.0,1.98
1661.0,2.2
1664.0,2.35
1666.0,2.39
1668.0,2.3
1670.0,2.17
1672.0,2.19
1674.0,2.12
1676.0,2.02
1678.0,1.84
1680.0,1.84
1681.0,2.11
1683.0,2.25
1685.0,1.95
1687.0,1.97
1689.0,2.09
1691.0,2.14
1693.0,2.12
1695.0,1.93
1697.0,1.73
1699.0,2.1
1701.0,2.14
1703.0,2.29
1705.0,2.26
1708.0,2.1
1710.0,1.81
1712.0,1.99
1714.0,2.26
1716.0,1.88
1718.0,1.8
1720.0,1.81
1722.0,2.18
1724.0,2.1
1725.0,2.09
1727.0,2.25
1729.0,2.27
1731.0,2.33
1733.0,2.8
1735.0,2.48
1737.0,2.34
1739.0,2.24
1741.0,2.2
1743.0,2.41
1745.0,2.21
1747.0,2.23
1750.0,2.47
1752.0,2.57
1754.0,2.45
1756.0,2.36
1758.0,2.72
1760.0,2.74
1762.0,2.9
1764.0,3.3
1766.0,3.27
1768.0,3.3
1769.0,3.3
1771.0,3.3
1773.0,3.07
1775.0,2.77
1777.0,2.98
1779.0,3.01
1781.0,3.02
1783.0,3.13
1785.0,3.02
1787.0,3.01
1789.0,2.95
1792.0,2.93
1794.0,2.8
1796.0,2.49
1798.0,2.54
1800.0,2.75
1802.0,2.89
1804.0,3.13
1806.0,2.94
1808.0,2.26
1810.0,1.63
1811.0,1.69
1813.0,1.44
1815.0,1.31
1817.0,1.2
1819.0,1.1
1821.0,1.03
1823.0,1.39
1825.0,1.68
1827.0,1.29
1829.0,0.93
1831.0,0.9
1833.0,0.27
1836.0,0.0
1838.0,0.0
1840.0,0.0
1842.0,0.0
1844.0,0.08
1846.0,0.15
1848.0,0.09
1850.0,0.13
1852.0,0.2
1854.0,0.3
1855.0,0.01
1857.0,0.0
1859.0,0.05
1861.0,0.12
1863.0,0.37
1865.0,0.35
1867.0,0.13
1869.0,0.89
1871.0,0.79
1873.0,0.65
1875.0,0.25
1878.0,0.1
1880.0,0.16
1882.0,0.75
1884.0,1.6
1886.0,1.71
1888.0,1.38
1890.0,1.29
1892.0,1.11
1894.0,1.19
1896.0,0.97
1897.0,0.79
1899.0,0.19
1901.0,0.2
1903.0,0.34
1905.0,0.36
1907.0,0.38
1909.0,0.72
1911.0,0.85
1913.0,0.99
1915.0,0.9
1917.0,0.88
1920.0,0.86
1922.0,1.02
1924.0,1.45
1926.0,0.99
1928.0,0.6
1930.0,0.65
1932.0,0.76
1934.0,0.55
1936.0,0.72
1938.0,0.89
1940.0,1.08
1941.0,1.02
1943.0,1.02
1945.0,0.51
1947.0,0.21
1949.0,0.38
1951.0,0.75
1953.0,0.55
1955.0,0.47
1957.0,0.05
1959.0,0.13
1961.0,0.29
1964.0,0.7
1966.0,0.66
1968.0,0.52
1970.0,0.57
1972.0,0.71
1974.0,0.83
1976.0,0.6
1978.0,0.75
1980.0,1.08
1982.0,1.37
1984.0,1.66
1985.0,1.4
1987.0,1.23
1989.0,1.17
1991.0,1.19
1993.0,1.49
1995.0,1.36
1997.0,1.49
1999.0,1.81
2001.0,1.64
2003.0,1.74
2006.0,1.74
2008.0,1.76
2010.0,2.0
2012.0,2.13
2014.0,1.99
2016.0,1.94
2018.0,1.29
2020.0,1.53
2022.0,1.44
2024.0,1.32
2026.0,1.39
2027.0,1.41
2029.0,1.32
2031.0,1.42
2033.0,1.46
2035.0,1.1
2037.0,1.12
2039.0,1.47
2041.0,1.59
2043.0,1.9
2045.0,1.93
2048.0,1.98
2050.0,2.16
2052.0,2.05
2054.0,1.78
2056.0,1.75
2058.0,1.89
2060.0,1.91
2062.0,2.13
2064.0,2.07
2066.0,2.07
2068.0,2.07
2070.0,2.26
2071.0,2.22
