time,ch3
1.45,1.62
3.45,1.62
5.45,1.45
7.45,1.55
9.45,1.54
11.45,1.53
13.45,1.53
15.45,1.47
17.45,1.57
19.45,1.62
21.45,1.65
23.45,1.6
25.45,1.41
27.45,1.46
29.45,1.52
31.45,1.47
33.45,1.53
35.45,1.48
37.45,1.54
39.45,1.55
42.45,1.56
44.45,1.51
46.45,1.41
47.45,1.47
49.45,1.51
51.45,1.51
53.45,1.98
55.45,3.3
57.45,3.3
59.45,3.3
61.45,3.3
63.45,3.3
65.45,3.3
67.45,3.3
69.45,3.19
71.45,3.01
73.45,2.89
75.45,2.76
77.45,2.75
79.45,2.54
81.45,0.65
84.45,0.0
86.45,0.0
88.45,0.0
90.45,0.0
92.45,0.0
94.45,0.0
95.45,0.0
97.45,0.0
99.45,0.0
101.45,0.0
103.45,0.0
105.45,0.01
107.45,0.16
109.45,0.32
111.45,0.4
113.45,0.51
115.45,0.56
117.45,0.66
119.45,0.74
121.45,0.82
123.45,0.86
126.45,0.75
128.45,0.93
130.45,0.95
132.45,1.02
134.45,1.07
136.45,1.08
138.45,1.22
139.45,1.23
141.45,1.25
143.45,1.33
145.45,1.25
147.45,1.3
149.45,1.33
151.45,1.4
153.45,1.46
155.45,1.37
157.45,1.42
159.45,1.45
161.45,1.46
163.45,1.55
165.45,1.44
167.45,1.47
170.45,1.55
172.45,1.66
174.45,1.59
176.45,1.54
178.45,1.58
180.45,1.54
181.45,1.59
183.45,1.64
185.45,1.52
187.45,1.58
189.45,1.52
191.45,1.52
193.45,1.65
195.45,1.68
197.45,1.77
199.45,1.76
201.45,1.73
203.45,1.71
205.45,1.54
207.45,1.56
209.45,1.53
212.45,1.55
214.45,1.58
216.45,1.48
218.45,1.51
220.45,1.58
222.45,1.55
223.45,1.46
225.45,1.39
227.45,1.51
229.45,1.53
231.45,1.5
233.45,1.49
235.45,1.53
237.45,1.72
239.45,1.74
241.45,1.64
243.45,1.68
245.45,1.54
247.45,1.61
249.45,1.6
251.45,1.59
254.45,1.6
256.45,1.54
258.45,1.6
260.45,1.7
262.45,1.95
264.45,1.92
266.45,1.79
267.45,1.9
269.45,1.88
271.45,1.83
273.45,1.83
275.45,1.76
277.45,1.78
279.45,1.76
281.45,1.72
283.45,1.65
285.45,1.5
287.45,1.54
289.45,1.58
291.45,1.58
293.45,1.63
295.45,1.57
298.45,1.62
300.45,1.66
302.45,1.73
304.45,1.68
306.45,1.53
308.45,1.54
309.45,1.47
311.45,1.52
313.45,1.5
315.45,1.42
317.45,1.46
319.45,1.47
321.45,1.46
323.45,1.41
325.45,1.33
327.45,1.4
329.45,1.42
331.45,1.45
333.45,1.44
335.45,1.36
337.45,1.46
340.45,1.46
342.45,1.49
344.45,1.51
346.45,1.37
348.45,1.45
350.45,1.47
351.45,1.45
353.45,1.46
355.45,1.35
357.45,1.44
359.45,1.45
361.45,1.4
363.45,1.38
365.45,1.25
367.45,1.35
369.45,1.35
371.45,1.35
373.45,1.41
375.45,1.37
377.45,1.46
379.45,1.46
382.45,1.52
384.45,1.4
386.45,1.3
388.45,1.31
390.45,1.32
392.45,1.36
394.45,1.35
395.45,1.31
397.45,1.42
399.45,1.41
401.45,1.37
403.45,1.38
405.45,1.31
407.45,1.32
409.45,1.33
411.45,1.33
413.45,1.4
415.45,1.36
417.45,1.46
419.45,1.46
421.45,1.46
423.45,1.45
426.45,1.4
428.45,1.45
430.45,1.52
432.45,1.5
434.45,1.52
436.45,1.49
437.45,1.5
439.45,1.5
441.45,1.51
443.45,1.47
445.45,1.37
447.45,1.49
449.45,1.56
451.45,1.59
453.45,1.61
455.45,1.56
457.45,1.64
459.45,1.72
461.45,1.65
463.45,1.62
465.45,1.52
468.45,1.59
470.45,1.6
472.45,1.58
474.45,1.58
476.45,1.6
478.45,1.71
479.45,1.77
481.45,1.73
483.45,1.69
485.45,1.59
487.45,1.63
489.45,1.59
491.45,1.6
493.45,1.6
495.45,1.64
497.45,1.73
499.45,1.69
501.45,1.72
503.45,1.71
505.45,1.55
507.45,1.59
510.45,1.62
512.45,1.62
514.45,1.62
516.45,1.55
518.45,1.59
520.45,1.66
522.45,1.65
523.45,1.67
525.45,1.56
527.45,1.61
529.45,1.56
531.45,1.56
533.45,1.64
535.45,1.59
537.45,1.63
539.45,1.6
541.45,1.54
543.45,1.51
545.45,1.38
547.45,1.45
549.45,1.39
551.45,1.42
554.45,1.4
556.45,1.33
558.45,1.43
560.45,1.2
562.45,0.87
564.45,0.85
565.45,0.71
567.45,0.76
569.45,0.8
571.45,0.77
573.45,0.75
575.45,0.67
577.45,0.76
579.45,0.75
581.45,0.74
583.45,0.76
585.45,0.73
587.45,0.85
589.45,0.89
591.45,0.93
593.45,1.0
